,Year,CostProvinceShort,DollarPerAcre,InflationScaler,DollarPerHectare
1,1921,PE,35,10.0,14.164305949008497
2,1921,NS,23,10.0,9.307972480777012
3,1921,NB,23,10.0,9.307972480777012
4,1921,QC,50,10.0,20.234722784297855
5,1921,ON,57,10.0,23.067583974099556
6,1921,MB,34,10.0,13.759611493322542
7,1921,SK,29,10.0,11.736139214892756
8,1921,AB,25,10.0,10.117361392148927
9,1921,BC,60,10.0,24.281667341157426
11,1922,PE,36,10.869565217391305,14.569000404694455
12,1922,NS,22,10.869565217391305,8.903278025091057
13,1922,NB,26,10.869565217391305,10.522055847834885
14,1922,QC,50,10.869565217391305,20.234722784297855
15,1922,ON,58,10.869565217391305,23.47227842978551
16,1922,MB,30,10.869565217391305,12.140833670578713
17,1922,SK,27,10.869565217391305,10.92675030352084
18,1922,AB,21,10.869565217391305,8.498583569405099
19,1922,BC,59,10.869565217391305,23.876972885471467
21,1923,PE,41,10.869565217391305,16.592472683124242
22,1923,NS,20,10.869565217391305,8.093889113719142
23,1923,NB,26,10.869565217391305,10.522055847834885
24,1923,QC,49,10.869565217391305,19.8300283286119
25,1923,ON,59,10.869565217391305,23.876972885471467
26,1923,MB,26,10.869565217391305,10.522055847834885
27,1923,SK,23,10.869565217391305,9.307972480777012
28,1923,AB,21,10.869565217391305,8.498583569405099
29,1923,BC,49,10.869565217391305,19.8300283286119
31,1924,PE,33,11.11111111111111,13.354917037636584
32,1924,NS,21,11.11111111111111,8.498583569405099
33,1924,NB,22,11.11111111111111,8.903278025091057
34,1924,QC,47,11.11111111111111,19.020639417239984
35,1924,ON,61,11.11111111111111,24.686361796843382
36,1924,MB,26,11.11111111111111,10.522055847834885
37,1924,SK,23,11.11111111111111,9.307972480777012
38,1924,AB,21,11.11111111111111,8.498583569405099
39,1924,BC,48,11.11111111111111,19.42533387292594
41,1925,PE,39,10.989010989010989,15.783083771752326
42,1925,NS,24,10.989010989010989,9.71266693646297
43,1925,NB,27,10.989010989010989,10.92675030352084
44,1925,QC,48,10.989010989010989,19.42533387292594
45,1925,ON,63,10.989010989010989,25.495750708215297
46,1925,MB,26,10.989010989010989,10.522055847834885
47,1925,SK,23,10.989010989010989,9.307972480777012
48,1925,AB,22,10.989010989010989,8.903278025091057
49,1925,BC,44,10.989010989010989,17.806556050182113
51,1926,PE,41,10.869565217391305,16.592472683124242
52,1926,NS,24,10.869565217391305,9.71266693646297
53,1926,NB,24,10.869565217391305,9.71266693646297
54,1926,QC,48,10.869565217391305,19.42533387292594
55,1926,ON,59,10.869565217391305,23.876972885471467
56,1926,MB,25,10.869565217391305,10.117361392148927
57,1926,SK,23,10.869565217391305,9.307972480777012
58,1926,AB,21,10.869565217391305,8.498583569405099
59,1926,BC,40,10.869565217391305,16.187778227438283
61,1927,PE,38,10.989010989010989,15.37838931606637
62,1927,NS,24,10.989010989010989,9.71266693646297
63,1927,NB,23,10.989010989010989,9.307972480777012
64,1927,QC,52,10.989010989010989,21.04411169566977
65,1927,ON,63,10.989010989010989,25.495750708215297
66,1927,MB,24,10.989010989010989,9.71266693646297
67,1927,SK,23,10.989010989010989,9.307972480777012
68,1927,AB,23,10.989010989010989,9.307972480777012
69,1927,BC,45,10.989010989010989,18.21125050586807
71,1928,PE,42,10.989010989010989,16.997167138810198
72,1928,NS,22,10.989010989010989,8.903278025091057
73,1928,NB,23,10.989010989010989,9.307972480777012
74,1928,QC,50,10.989010989010989,20.234722784297855
75,1928,ON,61,10.989010989010989,24.686361796843382
76,1928,MB,25,10.989010989010989,10.117361392148927
77,1928,SK,24,10.989010989010989,9.71266693646297
78,1928,AB,23,10.989010989010989,9.307972480777012
79,1928,BC,47,10.989010989010989,19.020639417239984
81,1929,PE,42,10.869565217391305,16.997167138810198
82,1929,NS,24,10.869565217391305,9.71266693646297
83,1929,NB,26,10.869565217391305,10.522055847834885
84,1929,QC,52,10.869565217391305,21.04411169566977
85,1929,ON,59,10.869565217391305,23.876972885471467
86,1929,MB,25,10.869565217391305,10.117361392148927
87,1929,SK,23,10.869565217391305,9.307972480777012
88,1929,AB,23,10.869565217391305,9.307972480777012
89,1929,BC,47,10.869565217391305,19.020639417239984
91,1930,PE,43,10.989010989010989,17.401861594496154
92,1930,NS,20,10.989010989010989,8.093889113719142
93,1930,NB,20,10.989010989010989,8.093889113719142
94,1930,QC,47,10.989010989010989,19.020639417239984
95,1930,ON,52,10.989010989010989,21.04411169566977
96,1930,MB,22,10.989010989010989,8.903278025091057
97,1930,SK,20,10.989010989010989,8.093889113719142
98,1930,AB,20,10.989010989010989,8.093889113719142
99,1930,BC,41,10.989010989010989,16.592472683124242
101,1931,PE,36,12.195121951219512,14.569000404694455
102,1931,NS,19,12.195121951219512,7.689194658033185
103,1931,NB,19,12.195121951219512,7.689194658033185
104,1931,QC,40,12.195121951219512,16.187778227438283
105,1931,ON,47,12.195121951219512,19.020639417239984
106,1931,MB,19,12.195121951219512,7.689194658033185
107,1931,SK,18,12.195121951219512,7.284500202347227
108,1931,AB,17,12.195121951219512,6.879805746661271
109,1931,BC,41,12.195121951219512,16.592472683124242
111,1932,PE,32,13.333333333333334,12.950222581950626
112,1932,NS,18,13.333333333333334,7.284500202347227
113,1932,NB,17,13.333333333333334,6.879805746661271
114,1932,QC,35,13.333333333333334,14.164305949008497
115,1932,ON,38,13.333333333333334,15.37838931606637
116,1932,MB,16,13.333333333333334,6.475111290975313
117,1932,SK,15,13.333333333333334,6.070416835289357
118,1932,AB,14,13.333333333333334,5.665722379603399
119,1932,BC,35,13.333333333333334,14.164305949008497
121,1933,PE,33,14.084507042253522,13.354917037636584
122,1933,NS,17,14.084507042253522,6.879805746661271
123,1933,NB,17,14.084507042253522,6.879805746661271
124,1933,QC,32,14.084507042253522,12.950222581950626
125,1933,ON,37,14.084507042253522,14.973694860380412
126,1933,MB,16,14.084507042253522,6.475111290975313
127,1933,SK,15,14.084507042253522,6.070416835289357
128,1933,AB,13,14.084507042253522,5.2610279239174425
129,1933,BC,34,14.084507042253522,13.759611493322542
131,1934,PE,34,13.88888888888889,13.759611493322542
132,1934,NS,17,13.88888888888889,6.879805746661271
133,1934,NB,16,13.88888888888889,6.475111290975313
134,1934,QC,29,13.88888888888889,11.736139214892756
135,1934,ON,40,13.88888888888889,16.187778227438283
136,1934,MB,16,13.88888888888889,6.475111290975313
137,1934,SK,15,13.88888888888889,6.070416835289357
138,1934,AB,13,13.88888888888889,5.2610279239174425
139,1934,BC,32,13.88888888888889,12.950222581950626
141,1935,PE,30,13.698630136986301,12.140833670578713
142,1935,NS,19,13.698630136986301,7.689194658033185
143,1935,NB,17,13.698630136986301,6.879805746661271
144,1935,QC,33,13.698630136986301,13.354917037636584
145,1935,ON,40,13.698630136986301,16.187778227438283
146,1935,MB,16,13.698630136986301,6.475111290975313
147,1935,SK,16,13.698630136986301,6.475111290975313
148,1935,AB,13,13.698630136986301,5.2610279239174425
149,1935,BC,30,13.698630136986301,12.140833670578713
151,1936,PE,30,13.513513513513512,12.140833670578713
152,1936,NS,21,13.513513513513512,8.498583569405099
153,1936,NB,18,13.513513513513512,7.284500202347227
154,1936,QC,29,13.513513513513512,11.736139214892756
155,1936,ON,41,13.513513513513512,16.592472683124242
156,1936,MB,14,13.513513513513512,5.665722379603399
157,1936,SK,14,13.513513513513512,5.665722379603399
158,1936,AB,13,13.513513513513512,5.2610279239174425
159,1936,BC,31,13.513513513513512,12.545528126264669
161,1937,PE,32,12.987012987012987,12.950222581950626
162,1937,NS,19,12.987012987012987,7.689194658033185
163,1937,NB,17,12.987012987012987,6.879805746661271
164,1937,QC,29,12.987012987012987,11.736139214892756
165,1937,ON,42,12.987012987012987,16.997167138810198
166,1937,MB,15,12.987012987012987,6.070416835289357
167,1937,SK,13,12.987012987012987,5.2610279239174425
168,1937,AB,12,12.987012987012987,4.856333468231485
169,1937,BC,29,12.987012987012987,11.736139214892756
171,1938,PE,33,12.987012987012987,13.354917037636584
172,1938,NS,17,12.987012987012987,6.879805746661271
173,1938,NB,17,12.987012987012987,6.879805746661271
174,1938,QC,28,12.987012987012987,11.331444759206798
175,1938,ON,40,12.987012987012987,16.187778227438283
176,1938,MB,14,12.987012987012987,5.665722379603399
177,1938,SK,13,12.987012987012987,5.2610279239174425
178,1938,AB,11,12.987012987012987,4.451639012545528
179,1938,BC,30,12.987012987012987,12.140833670578713
181,1939,PE,32,12.987012987012987,12.950222581950626
182,1939,NS,19,12.987012987012987,7.689194658033185
183,1939,NB,18,12.987012987012987,7.284500202347227
184,1939,QC,29,12.987012987012987,11.736139214892756
185,1939,ON,40,12.987012987012987,16.187778227438283
186,1939,MB,14,12.987012987012987,5.665722379603399
187,1939,SK,12,12.987012987012987,4.856333468231485
188,1939,AB,12,12.987012987012987,4.856333468231485
189,1939,BC,29,12.987012987012987,11.736139214892756
191,1940,PE,28,12.5,11.331444759206798
192,1940,NS,16,12.5,6.475111290975313
193,1940,NB,14,12.5,5.665722379603399
194,1940,QC,28,12.5,11.331444759206798
195,1940,ON,39,12.5,15.783083771752326
196,1940,MB,13,12.5,5.2610279239174425
197,1940,SK,12,12.5,4.856333468231485
198,1940,AB,12,12.5,4.856333468231485
199,1940,BC,28,12.5,11.331444759206798
201,1941,PE,29,11.764705882352942,11.736139214892756
202,1941,NS,17,11.764705882352942,6.879805746661271
