,StationID,Date,StationName,AverageTemp,MaxGust,MaxRelHumidity,ProvinceShort
0,5017,2010-06-11,CASTLE ROCK 6 NORTH,15.5,,,BC
1,27378,2014-08-05,BANFF CS,17.2,0.0,,AB
2,3394,2002-08-22,STONY RAPIDS A,15.1,37.0,,SK
3,3945,1992-04-06,RAINY RIVER-COOPER,6.5,,,ON
4,10963,2017-08-17,CAP-ROUGE,,54.0,,QC
5,10760,2005-08-10,LITTLE CHICAGO,17.1,,,NT
6,1340,2015-08-16,VAVENBY,17.5,,,BC
7,10188,2015-06-09,SWAN RIVER RCS,16.9,43.0,,MB
8,54658,2018-06-11,CROSS LAKE JENPEG 2,15.9,0.0,,MB
9,7290,2020-05-15,GRAND RAPIDS (AUT),2.3,,92.0,MB
10,470,2018-08-15,HOUSTON,15.0,,,BC
11,3641,2012-07-26,OAKBANK,,,,MB
12,3945,1991-11-11,RAINY RIVER-COOPER,-4.3,,,ON
13,1525,2004-07-18,BURWASH A,14.5,,,YT
14,3394,2006-10-29,STONY RAPIDS A,-2.7,0.0,,SK
15,3169,2004-06-04,CLIMAX,,,,SK
16,30494,2021-08-12,TATLAYOKO LAKE RCS,21.7,,69.0,BC
17,3945,1998-04-15,RAINY RIVER,1.0,,,ON
18,48872,2021-03-14,KEY LAKE,-1.6,55.0,68.0,SK
19,10760,2005-08-22,LITTLE CHICAGO,10.5,,,NT
20,50837,2016-07-22,FORT ST. JOHN A,15.8,46.0,,BC
21,10890,2015-09-22,CROWSNEST,10.1,33.0,,AB
22,3945,1994-04-05,RAINY RIVER,-5.5,,,ON
23,3879,1988-08-02,GODS LAKE NARROWS A,17.3,,,MB
24,8092,2010-03-16,PUNTZI MOUNTAIN (AUT),5.6,44.0,99.0,BC
25,1586,1995-08-10,PELLY RANCH,15.8,,,YT
26,3923,1991-06-28,RED LAKE A,14.7,0.0,,ON
27,1535,2011-07-31,DAWSON CREEK A,13.0,52.0,,BC
28,53698,2018-07-24,GILLAM A,10.6,43.0,,MB
29,655,2018-08-11,VANDERHOOF,16.3,,,BC
30,3923,1991-08-08,RED LAKE A,19.6,0.0,,ON
31,1309,2021-10-20,100 MILE HOUSE 6NE,7.0,,,BC
32,10881,2008-06-17,OAKPOINT MARINE,14.7,0.0,,MB
33,3945,1993-07-09,RAINY RIVER-COOPER,18.0,,,ON
34,10881,2008-06-23,OAKPOINT MARINE,18.3,78.0,,MB
35,31468,2011-10-18,PEORIA AGDM,9.8,54.0,94.0,AB
36,3923,1990-09-23,RED LAKE A,6.7,43.0,,ON
