Station ID,Climate ID,Name,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Province
0,1010066,ACTIVE PASS,48.87,-123.28,BC
1,1010235,ALBERT HEAD,48.4,-123.48,BC
2,1010595,BAMBERTON OCEAN CEMENT,48.58,-123.52,BC
3,1010720,BEAR CREEK,48.5,-124.0,BC
4,1010774,BEAVER LAKE,48.5,-123.35,BC
5,1010780,BECHER BAY,48.33,-123.63,BC
6,1010960,BRENTWOOD BAY 2,48.6,-123.47,BC
7,1010961,BRENTWOOD CLARKE ROAD,48.57,-123.45,BC
8,1010965,BRENTWOOD W SAANICH RD,48.57,-123.43,BC
9,1011467,CENTRAL SAANICH VEYANESS,48.58,-123.42,BC
10,10114F6,CENTRAL SAANICH ISL VIEW,48.57,-123.39,BC
11,10114FF,CENTRAL SAANICH TANNER,48.55,-123.4,BC
12,1011500,CHEMAINUS,48.94,-123.74,BC
13,1011743,COBBLE HILL,48.68,-123.6,BC
14,1011745,COBBLE HILL DELOUME ROAD,48.65,-123.57,BC
15,1011775,COLE BAY,48.65,-123.4,BC
16,1011810,COLWOOD HATLEY DR,48.42,-123.48,BC
17,1011860,COPPER CANYON,48.83,-123.83,BC
18,1011920,CORDOVA BAY,48.53,-123.37,BC
19,1011922,CORDOVA BAY SOUTH,48.52,-123.37,BC
20,1012008,COWICHAN,48.42,-123.7,BC
21,1012010,COWICHAN BAY CHERRY POINT,48.71,-123.56,BC
22,1012018,COWICHAN BAY SOUTHEAST,48.73,-123.6,BC
23,1012040,COWICHAN LAKE FORESTRY,48.82,-124.13,BC
24,1012046,COWICHAN LAKE HATCHERY,48.83,-124.12,BC
25,1012052,COWICHAN LAKE NITINAT,48.93,-124.48,BC
26,1012055,LAKE COWICHAN,48.83,-124.05,BC
27,1012190,CROFTON,48.82,-123.67,BC
28,1012475,DISCOVERY ISLAND,48.42,-123.23,BC
29,1012550,DUNCAN,48.78,-123.72,BC
30,1012562,DUNCAN BCHPA VIT,48.83,-123.72,BC
31,1012566,DUNCAN EAST,48.78,-123.68,BC
32,1012570,DUNCAN FORESTRY,48.77,-123.68,BC
33,1012573,DUNCAN KELVIN CREEK,48.73,-123.73,BC
34,1012628,EAST SOOKE ANDERSON COVE,48.35,-123.63,BC
35,1012655,ELK LAKE,48.52,-123.38,BC
36,1012656,ELK LAKE 2,48.53,-123.38,BC
37,1012700,ESQUIMALT,48.43,-123.42,BC
38,1012707,ESQUIMALT LAGOON,48.42,-123.47,BC
39,1012710,ESQUIMALT HARBOUR,48.43,-123.44,BC
40,1012883,FINLAYSON ARM RD,48.5,-123.53,BC
41,1013045,GALIANO ISLAND GCC,48.9,-123.35,BC
42,1013051,GANGES MANSELL RD,48.87,-123.5,BC
43,10130DE,GALIANO ISL BURRILL PT,48.87,-123.32,BC
44,10130MN,GALIANO NORTH,48.99,-123.57,BC
45,1013240,GOLDSTREAM LAKE,48.45,-123.55,BC
46,1013241,GOLDSTREAM MEADOWS,48.62,-123.53,BC
47,1013519,HONEYMOON BAY NORTHWEST,48.83,-124.19,BC
48,1013720,JAMES ISLAND,48.6,-123.35,BC
49,1013998,KELP REEFS,48.55,-123.24,BC
50,1014430,KUPER ISLAND,48.97,-123.63,BC
51,1014493,LAKE COWICHAN,48.82,-124.05,BC
52,1014530,LANGFORD LAKE,48.43,-123.53,BC
53,1014818,MALAHAT,48.58,-123.58,BC
54,1014820,MALAHAT,48.57,-123.53,BC
55,1014930,MAYNE ISLAND,48.85,-123.33,BC
56,1014931,MAYNE ISLAND,48.84,-123.32,BC
57,1015105,METCHOSIN,48.37,-123.56,BC
58,1015107,METCHOSIN HAPPY VALLEY,48.42,-123.53,BC
