x,y,STATION_NAME,LOCAL_DATE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2014-03-24 00:00:00,107G879,,BC,-6,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2007-07-18 00:00:00,107G879,,BC,18.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2016-08-13 00:00:00,107G879,,BC,14.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1999-03-28 00:00:00,107G879,,BC,-1,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1991-03-16 00:00:00,107G879,,BC,0.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2017-12-04 00:00:00,107G879,,BC,-3.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1999-04-07 00:00:00,107G879,,BC,1,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2022-02-28 00:00:00,107G879,,BC,2.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1999-04-26 00:00:00,107G879,,BC,3.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2008-10-28 00:00:00,107G879,,BC,4.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1992-08-10 00:00:00,107G879,,BC,14,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2014-06-08 00:00:00,107G879,,BC,12,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1999-06-30 00:00:00,107G879,,BC,10.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2018-01-17 00:00:00,107G879,,BC,-1,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1995-03-15 00:00:00,107G879,,BC,4,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2015-07-13 00:00:00,107G879,,BC,13.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2021-01-03 00:00:00,107G879,,BC,0.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1991-05-08 00:00:00,107G879,,BC,10,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2007-03-21 00:00:00,107G879,,BC,1,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1990-07-16 00:00:00,107G879,,BC,11.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2020-01-03 00:00:00,107G879,,BC,-6.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2005-06-18 00:00:00,107G879,,BC,17.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2008-12-27 00:00:00,107G879,,BC,-10.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2014-12-15 00:00:00,107G879,,BC,-1.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2019-01-14 00:00:00,107G879,,BC,0.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1989-07-16 00:00:00,107G879,,BC,13.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1989-05-08 00:00:00,107G879,,BC,10,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2019-09-11 00:00:00,107G879,,BC,11.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1994-06-05 00:00:00,107G879,,BC,12.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2022-05-08 00:00:00,107G879,,BC,5.8,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1997-07-12 00:00:00,107G879,,BC,15,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1990-09-09 00:00:00,107G879,,BC,11.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2003-02-13 00:00:00,107G879,,BC,-6.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1989-04-16 00:00:00,107G879,,BC,4,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2001-07-07 00:00:00,107G879,,BC,12,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1998-12-01 00:00:00,107G879,,BC,-2.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1996-12-20 00:00:00,107G879,,BC,-6.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1993-12-17 00:00:00,107G879,,BC,-1,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1992-10-12 00:00:00,107G879,,BC,1.5,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,1988-06-16 00:00:00,107G879,,BC,12,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2014-01-29 00:00:00,107G879,,BC,-3.3,
-127.17055555555555,55.28861111111111,SUSKWA VALLEY,2005-05-06 00:00:00,107G879,,BC,9.5,
