x,y,STATION_NAME,LOCAL_DATE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2001-10-22 00:00:00,110N666,,BC,6.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1991-12-03 00:00:00,110N666,,BC,5.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2011-09-27 00:00:00,110N666,,BC,11.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1991-02-03 00:00:00,110N666,,BC,4,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2011-12-12 00:00:00,110N666,,BC,-1.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2009-12-17 00:00:00,110N666,,BC,3.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1988-04-19 00:00:00,110N666,,BC,11.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1988-12-14 00:00:00,110N666,,BC,-0.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1991-02-06 00:00:00,110N666,,BC,4,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1994-09-30 00:00:00,110N666,,BC,14.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1995-11-29 00:00:00,110N666,,BC,9.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2010-06-22 00:00:00,110N666,,BC,16.4,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1991-06-01 00:00:00,110N666,,BC,12.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2002-04-09 00:00:00,110N666,,BC,5.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-01-26 00:00:00,110N666,,BC,2.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1989-06-01 00:00:00,110N666,,BC,16.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1991-08-19 00:00:00,110N666,,BC,21,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2001-01-26 00:00:00,110N666,,BC,3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-06-12 00:00:00,110N666,,BC,12.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1998-02-03 00:00:00,110N666,,BC,4.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2010-10-04 00:00:00,110N666,,BC,10.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2017-11-07 00:00:00,110N666,,BC,2.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2002-12-08 00:00:00,110N666,,BC,2.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2006-02-14 00:00:00,110N666,,BC,1.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-08-22 00:00:00,110N666,,BC,15.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2007-04-09 00:00:00,110N666,,BC,7.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1990-02-26 00:00:00,110N666,,BC,4.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2002-11-21 00:00:00,110N666,,BC,10,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2003-06-22 00:00:00,110N666,,BC,11,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2016-02-11 00:00:00,110N666,,BC,5.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2014-03-15 00:00:00,110N666,,BC,4.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2012-10-16 00:00:00,110N666,,BC,9.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1987-05-24 00:00:00,110N666,,BC,13.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1996-09-18 00:00:00,110N666,,BC,,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2013-10-08 00:00:00,110N666,,BC,12.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2008-07-20 00:00:00,110N666,,BC,18.4,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1992-11-23 00:00:00,110N666,,BC,2,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2014-11-20 00:00:00,110N666,,BC,5.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2014-12-31 00:00:00,110N666,,BC,-3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2003-08-03 00:00:00,110N666,,BC,18,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1989-12-31 00:00:00,110N666,,BC,5.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1987-09-11 00:00:00,110N666,,BC,13.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1988-06-23 00:00:00,110N666,,BC,14.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2006-12-06 00:00:00,110N666,,BC,3.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1991-03-29 00:00:00,110N666,,BC,4.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2009-10-18 00:00:00,110N666,,BC,13,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2002-08-17 00:00:00,110N666,,BC,16.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2007-01-31 00:00:00,110N666,,BC,,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2003-06-15 00:00:00,110N666,,BC,,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2010-07-31 00:00:00,110N666,,BC,17.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2002-10-16 00:00:00,110N666,,BC,12.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2003-03-13 00:00:00,110N666,,BC,8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-01-10 00:00:00,110N666,,BC,-7,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2009-05-01 00:00:00,110N666,,BC,13.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2003-02-28 00:00:00,110N666,,BC,3.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1998-07-27 00:00:00,110N666,,BC,24.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1997-10-05 00:00:00,110N666,,BC,9.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1994-01-28 00:00:00,110N666,,BC,4,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2002-12-13 00:00:00,110N666,,BC,6,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-09-13 00:00:00,110N666,,BC,13.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2011-07-30 00:00:00,110N666,,BC,17.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2014-11-04 00:00:00,110N666,,BC,11.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-09-06 00:00:00,110N666,,BC,19.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2011-12-05 00:00:00,110N666,,BC,-0.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2010-06-19 00:00:00,110N666,,BC,15.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2001-11-17 00:00:00,110N666,,BC,4.8,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1990-12-28 00:00:00,110N666,,BC,-10.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2003-10-26 00:00:00,110N666,,BC,10.3,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,2013-02-08 00:00:00,110N666,,BC,1.5,
-122.96694638888889,49.43751833333334,N VAN SEYMOUR HATCHERY,1993-09-12 00:00:00,110N666,,BC,12.5,
