Longitude,Latitude,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,Date,Climate ID,Name,Province,SPEED_MAX_GUST,Station ID
-120.83916666666669,51.3265,,7.0,2006-11-06 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,8.5,1996-05-16 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,,1987-10-11 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-11.3,2006-12-17 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,3.3,2007-03-09 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-6.0,1997-02-28 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,,1988-05-07 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,12.5,1997-07-09 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-6.0,2001-01-16 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-3.3,1999-02-05 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,12.8,2005-05-12 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,11.8,2004-08-27 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,5.5,2003-03-22 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-10.3,2001-11-29 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-15.5,1995-03-04 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,9.8,2000-06-09 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,10.5,2006-09-10 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-3.8,1991-10-25 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,14.0,2001-07-27 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-3.0,1993-11-28 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,17.0,1997-07-19 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,18.8,1994-07-20 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,9.0,2004-05-04 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,13.3,1991-06-09 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,21.0,2004-08-14 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,13.0,1989-08-11 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,12.5,1998-09-04 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-0.3,1993-02-07 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,2.0,2006-03-27 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,15.8,1988-07-08 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,4.8,2007-05-21 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-7.5,1989-11-26 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-14.3,1996-01-16 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,,1987-08-22 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,,1987-10-31 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,6.8,2008-10-29 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,12.8,2003-08-12 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
