x,y,STATION_NAME,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DATE
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2,,,1994-03-01 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,3,,,1994-03-02 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2,,,1994-03-03 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,0,,,1994-03-04 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-5,,,1994-03-05 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-8,,,1994-03-06 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-7.8,,,1994-03-07 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-4,,,1994-03-08 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-1.3,,,1994-03-09 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-0.8,,,1994-03-10 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,1.3,,,1994-03-11 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2,,,1994-03-12 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,5,,,1994-03-13 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-0.5,,,1994-03-14 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2,,,1994-03-15 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2.8,,,1994-03-16 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-2.5,,,1994-03-17 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-1.8,,,1994-03-18 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,-5.3,,,1994-03-19 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-20 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-21 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-22 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-23 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-24 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-25 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-26 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-27 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-28 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-29 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-03-30 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,5.8,,,1994-03-31 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,1.8,,,1994-05-01 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,1,,,1994-05-02 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,3.8,,,1994-05-03 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2,,,1994-05-04 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,,,,1994-05-05 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,5.5,,,1994-05-06 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,11,,,1994-05-07 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,9.5,,,1994-05-08 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,10,,,1994-05-09 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,9.3,,,1994-05-10 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,9.3,,,1994-05-11 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,4.5,,,1994-05-12 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,5.8,,,1994-05-13 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,5,,,1994-05-14 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,3.8,,,1994-05-15 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,3.8,,,1994-05-16 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,2.3,,,1994-05-17 00:00:00
-119.88309361111111,50.88706972222222,SUN PEAKS LOWER,BC,116Q20D,5.3,,,1994-05-18 00:00:00
