Longitude,Latitude,Province,Climate ID,SPEED_MAX_GUST,MAX_REL_HUMIDITY,Name,MEAN_TEMPERATURE,Date,Station ID
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-4.1,1995-02-06 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.7,1995-02-07 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-6.6,1995-02-08 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-4.9,1995-02-09 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-11.5,1995-02-10 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-16.3,1995-02-11 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-20.8,1995-02-12 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-21.2,1995-02-13 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-24.9,1995-02-14 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-15.9,1995-02-15 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-9.8,1995-02-16 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-6.1,1995-02-17 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.7,1995-02-18 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.5,1995-02-19 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.0,1995-02-20 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.7,1995-02-21 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.7,1995-02-22 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-5.3,1995-02-23 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.0,1995-02-24 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.5,1995-02-25 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-11.1,1995-02-26 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-15.5,1995-02-27 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-16.6,1995-02-28 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-14.6,1995-03-01 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-13.7,1995-03-02 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-8.5,1995-03-03 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-17.2,1995-03-04 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-16.0,1995-03-05 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-16.8,1995-03-06 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-13.8,1995-03-07 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-9.0,1995-03-08 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-2.5,1995-03-09 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.3,1995-03-10 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.5,1995-03-11 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.8,1995-03-15 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.6,1995-03-12 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.7,1995-03-13 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.5,1995-03-14 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.2,1995-03-16 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-2.3,1995-03-17 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.9,1995-03-18 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.7,1995-03-19 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.7,1995-03-20 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.0,1995-03-21 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.3,1995-03-22 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.3,1995-03-23 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.8,1995-03-24 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-4.2,1995-03-25 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-4.1,1995-03-26 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-1.7,1995-03-27 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.9,1995-03-28 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.9,1995-03-29 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.8,1995-03-30 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.7,1995-03-31 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.1,1995-04-01 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.2,1995-04-02 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.2,1995-04-03 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.1,1995-04-04 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.4,1995-04-05 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.8,1995-04-06 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.2,1995-04-07 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.1,1995-04-08 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.5,1995-04-09 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.7,1995-04-10 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.1,1995-04-11 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-2.3,1995-04-12 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.1,1995-04-13 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.2,1995-04-14 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.7,1995-04-15 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.3,1995-04-16 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-2.7,1995-04-17 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.1,1995-04-18 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.5,1995-04-19 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.8,1995-04-20 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.8,1995-04-21 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.4,1995-04-22 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.9,1995-04-23 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.9,1995-04-24 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.5,1995-04-25 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,2.6,1995-04-26 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,4.1,1995-04-27 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.2,1995-04-28 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,-0.1,1995-04-29 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,0.4,1995-04-30 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,4.6,1995-05-01 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.7,1995-05-02 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,1.2,1995-05-03 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,3.4,1995-05-04 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,4.3,1995-05-05 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,4.2,1995-05-06 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,5.6,1995-05-07 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,6.6,1995-05-08 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,7.0,1995-05-09 00:00:00,1612
-116.34455555555556,51.44288888888889,BC,11790J1,,,YOHO PARK,6.8,1995-05-10 00:00:00,1612
