x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-01 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-02 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-03 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-04 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-05 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-06 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-07 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-08 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-09 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-10 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-11 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-12 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-13 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-14 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-15 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-16 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-17 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-18 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-19 00:00:00
-116.336945,51.35612,117R00H,,,BC,YOHO NP OHARA LAKE,,1987-12-20 00:00:00
-116.336945,51.35612,117R00H,,-10.5,BC,YOHO NP OHARA LAKE,,1987-12-21 00:00:00
-116.336945,51.35612,117R00H,,-15,BC,YOHO NP OHARA LAKE,,1987-12-22 00:00:00
-116.336945,51.35612,117R00H,,-18.8,BC,YOHO NP OHARA LAKE,,1987-12-23 00:00:00
-116.336945,51.35612,117R00H,,-15,BC,YOHO NP OHARA LAKE,,1987-12-24 00:00:00
-116.336945,51.35612,117R00H,,-10.8,BC,YOHO NP OHARA LAKE,,1987-12-25 00:00:00
-116.336945,51.35612,117R00H,,-9.3,BC,YOHO NP OHARA LAKE,,1987-12-26 00:00:00
-116.336945,51.35612,117R00H,,-14.8,BC,YOHO NP OHARA LAKE,,1987-12-27 00:00:00
-116.336945,51.35612,117R00H,,-13.3,BC,YOHO NP OHARA LAKE,,1987-12-28 00:00:00
-116.336945,51.35612,117R00H,,-10.3,BC,YOHO NP OHARA LAKE,,1987-12-29 00:00:00
-116.336945,51.35612,117R00H,,-19.8,BC,YOHO NP OHARA LAKE,,1987-12-30 00:00:00
-116.336945,51.35612,117R00H,,-24,BC,YOHO NP OHARA LAKE,,1987-12-31 00:00:00
-116.336945,51.35612,117R00H,,-18.3,BC,YOHO NP OHARA LAKE,,1988-01-01 00:00:00
-116.336945,51.35612,117R00H,,-20.5,BC,YOHO NP OHARA LAKE,,1988-01-02 00:00:00
-116.336945,51.35612,117R00H,,-23.3,BC,YOHO NP OHARA LAKE,,1988-01-03 00:00:00
-116.336945,51.35612,117R00H,,-20.8,BC,YOHO NP OHARA LAKE,,1988-01-04 00:00:00
-116.336945,51.35612,117R00H,,-21.8,BC,YOHO NP OHARA LAKE,,1988-01-05 00:00:00
-116.336945,51.35612,117R00H,,-21.8,BC,YOHO NP OHARA LAKE,,1988-01-06 00:00:00
-116.336945,51.35612,117R00H,,-23,BC,YOHO NP OHARA LAKE,,1988-01-07 00:00:00
-116.336945,51.35612,117R00H,,-22.3,BC,YOHO NP OHARA LAKE,,1988-01-08 00:00:00
-116.336945,51.35612,117R00H,,-17.8,BC,YOHO NP OHARA LAKE,,1988-01-09 00:00:00
-116.336945,51.35612,117R00H,,-10.3,BC,YOHO NP OHARA LAKE,,1988-01-10 00:00:00
-116.336945,51.35612,117R00H,,-14.3,BC,YOHO NP OHARA LAKE,,1988-01-11 00:00:00
-116.336945,51.35612,117R00H,,-11.5,BC,YOHO NP OHARA LAKE,,1988-01-12 00:00:00
-116.336945,51.35612,117R00H,,-9.8,BC,YOHO NP OHARA LAKE,,1988-01-13 00:00:00
-116.336945,51.35612,117R00H,,-5.8,BC,YOHO NP OHARA LAKE,,1988-01-14 00:00:00
-116.336945,51.35612,117R00H,,-7,BC,YOHO NP OHARA LAKE,,1988-01-15 00:00:00
-116.336945,51.35612,117R00H,,-9.5,BC,YOHO NP OHARA LAKE,,1988-01-16 00:00:00
-116.336945,51.35612,117R00H,,-12.3,BC,YOHO NP OHARA LAKE,,1988-01-17 00:00:00
-116.336945,51.35612,117R00H,,-19.8,BC,YOHO NP OHARA LAKE,,1988-01-18 00:00:00
-116.336945,51.35612,117R00H,,-14.5,BC,YOHO NP OHARA LAKE,,1988-01-19 00:00:00
-116.336945,51.35612,117R00H,,-9.3,BC,YOHO NP OHARA LAKE,,1988-01-20 00:00:00
-116.336945,51.35612,117R00H,,-8.8,BC,YOHO NP OHARA LAKE,,1988-01-21 00:00:00
-116.336945,51.35612,117R00H,,-5.5,BC,YOHO NP OHARA LAKE,,1988-01-22 00:00:00
-116.336945,51.35612,117R00H,,-9.3,BC,YOHO NP OHARA LAKE,,1988-01-23 00:00:00
-116.336945,51.35612,117R00H,,-13,BC,YOHO NP OHARA LAKE,,1988-01-24 00:00:00
-116.336945,51.35612,117R00H,,-7.5,BC,YOHO NP OHARA LAKE,,1988-01-25 00:00:00
-116.336945,51.35612,117R00H,,-10,BC,YOHO NP OHARA LAKE,,1988-01-26 00:00:00
-116.336945,51.35612,117R00H,,-5,BC,YOHO NP OHARA LAKE,,1988-01-27 00:00:00
-116.336945,51.35612,117R00H,,-1,BC,YOHO NP OHARA LAKE,,1988-01-28 00:00:00
-116.336945,51.35612,117R00H,,-4,BC,YOHO NP OHARA LAKE,,1988-01-29 00:00:00
-116.336945,51.35612,117R00H,,-21.5,BC,YOHO NP OHARA LAKE,,1988-01-30 00:00:00
-116.336945,51.35612,117R00H,,-28.5,BC,YOHO NP OHARA LAKE,,1988-01-31 00:00:00
-116.336945,51.35612,117R00H,,-25.5,BC,YOHO NP OHARA LAKE,,1988-02-01 00:00:00
-116.336945,51.35612,117R00H,,-19.8,BC,YOHO NP OHARA LAKE,,1988-02-02 00:00:00
-116.336945,51.35612,117R00H,,-18,BC,YOHO NP OHARA LAKE,,1988-02-03 00:00:00
-116.336945,51.35612,117R00H,,-17,BC,YOHO NP OHARA LAKE,,1988-02-04 00:00:00
-116.336945,51.35612,117R00H,,-14.3,BC,YOHO NP OHARA LAKE,,1988-02-05 00:00:00
-116.336945,51.35612,117R00H,,-6.5,BC,YOHO NP OHARA LAKE,,1988-02-06 00:00:00
-116.336945,51.35612,117R00H,,-6.8,BC,YOHO NP OHARA LAKE,,1988-02-07 00:00:00
-116.336945,51.35612,117R00H,,-9.5,BC,YOHO NP OHARA LAKE,,1988-02-08 00:00:00
-116.336945,51.35612,117R00H,,-14,BC,YOHO NP OHARA LAKE,,1988-02-09 00:00:00
-116.336945,51.35612,117R00H,,-9.5,BC,YOHO NP OHARA LAKE,,1988-02-10 00:00:00
-116.336945,51.35612,117R00H,,-4,BC,YOHO NP OHARA LAKE,,1988-02-11 00:00:00
-116.336945,51.35612,117R00H,,-1,BC,YOHO NP OHARA LAKE,,1988-02-12 00:00:00
-116.336945,51.35612,117R00H,,-5.8,BC,YOHO NP OHARA LAKE,,1988-02-13 00:00:00
