Longitude,Latitude,SPEED_MAX_GUST,Province,Name,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Climate ID,Date,Station ID
-135.045,59.716388888888886,,BC,FRASER CAMP,-9.5,,120C036,1993-03-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.5,,120C036,1987-05-05 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-5.0,,120C036,1992-11-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2002-03-31 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1988-02-25 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2000-07-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2006-12-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.8,,120C036,1999-09-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-13.0,,120C036,1999-12-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2005-09-04 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,0.0,,120C036,1991-02-26 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-10.0,,120C036,2004-01-20 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2000-01-21 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-7.5,,120C036,2006-02-09 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-20.5,,120C036,1998-01-03 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1987-11-06 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.0,,120C036,1999-08-25 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2007-06-16 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.0,,120C036,1989-12-24 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-18.0,,120C036,1993-12-12 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-25.0,,120C036,2005-01-11 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.0,,120C036,1996-03-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2007-06-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-21.5,,120C036,1996-12-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-10.5,,120C036,2004-03-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.3,,120C036,2003-08-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,9.5,,120C036,1994-06-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,5.0,,120C036,1992-04-15 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.0,,120C036,1996-10-09 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-7.0,,120C036,1992-02-23 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-2.5,,120C036,1993-11-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-0.5,,120C036,2004-04-03 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.3,,120C036,1996-05-30 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-3.5,,120C036,1990-01-18 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2000-05-21 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,4.5,,120C036,1991-05-19 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.0,,120C036,1987-08-29 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,15.5,,120C036,1996-07-27 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2005-06-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,16.5,,120C036,1995-07-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,3.3,,120C036,2007-05-29 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,10.5,,120C036,2003-10-01 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,1.0,,120C036,1991-04-22 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,1988-08-28 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.0,,120C036,1998-04-14 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-11.0,,120C036,1988-02-10 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-13.5,,120C036,1994-01-02 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,,,120C036,2002-06-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-4.0,,120C036,1996-03-11 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,-0.5,,120C036,1999-04-23 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,8.5,,120C036,1998-07-07 00:00:00,1766
-135.045,59.716388888888886,,BC,FRASER CAMP,0.5,,120C036,2002-12-09 00:00:00,1766
