x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-129.13166666666666,61.181666666666665,,2100FCG,2003-03-24 00:00:00,-12,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1993-01-31 00:00:00,-1.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1992-11-23 00:00:00,-15,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1988-02-20 00:00:00,4,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2004-12-02 00:00:00,-0.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2004-05-04 00:00:00,2.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1992-09-16 00:00:00,0.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2011-01-26 00:00:00,-7.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1993-12-29 00:00:00,-15,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2005-11-13 00:00:00,-11,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1988-11-05 00:00:00,-12.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2012-05-14 00:00:00,1.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2015-06-26 00:00:00,16.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2002-10-10 00:00:00,-4.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1994-09-05 00:00:00,2.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2007-03-07 00:00:00,-14.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1992-02-29 00:00:00,-1.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2017-04-30 00:00:00,2,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1997-10-04 00:00:00,-2.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1995-09-03 00:00:00,,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2009-10-14 00:00:00,-13.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1995-10-03 00:00:00,2.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2009-01-13 00:00:00,-14.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2014-02-08 00:00:00,-21.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1988-11-15 00:00:00,-11,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2000-04-07 00:00:00,-7.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2007-04-25 00:00:00,-0.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2012-07-12 00:00:00,10.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1998-04-02 00:00:00,-6.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1997-07-12 00:00:00,16.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1987-10-26 00:00:00,-2.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1994-10-02 00:00:00,-1.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2016-07-07 00:00:00,15,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2002-05-21 00:00:00,6,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1998-10-01 00:00:00,1.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2013-01-19 00:00:00,-25.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2012-12-16 00:00:00,-10,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2016-09-27 00:00:00,4.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2000-12-26 00:00:00,-16.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2001-01-28 00:00:00,-3.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2007-07-07 00:00:00,12.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2002-07-13 00:00:00,,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2012-06-17 00:00:00,11.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1999-05-31 00:00:00,7.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1994-10-15 00:00:00,0.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2008-07-22 00:00:00,12,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1995-11-27 00:00:00,-21,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2008-12-02 00:00:00,-19.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1996-12-17 00:00:00,-22.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2015-11-27 00:00:00,-11,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1998-01-04 00:00:00,,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2015-05-24 00:00:00,13.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2014-11-09 00:00:00,-7.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2007-10-16 00:00:00,-2.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2008-07-27 00:00:00,11.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2010-06-25 00:00:00,13.3,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2011-07-11 00:00:00,14.8,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1995-09-27 00:00:00,7.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,2009-07-02 00:00:00,11.5,HOUR LAKE,YT,
-129.13166666666666,61.181666666666665,,2100FCG,1999-01-15 00:00:00,-5.5,HOUR LAKE,YT,
