Longitude,Latitude,MAX_REL_HUMIDITY,Climate ID,Date,MEAN_TEMPERATURE,Name,Province,SPEED_MAX_GUST,Station ID
-124.46833333333332,61.25666666666667,,22010H0,2001-08-16 00:00:00,20.3,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-17 00:00:00,15.1,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-18 00:00:00,10.0,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-19 00:00:00,9.6,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-20 00:00:00,11.3,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-21 00:00:00,12.0,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-22 00:00:00,9.9,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-23 00:00:00,12.2,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-24 00:00:00,13.7,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-25 00:00:00,12.4,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-26 00:00:00,12.7,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-27 00:00:00,9.3,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-28 00:00:00,12.8,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-29 00:00:00,16.0,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-30 00:00:00,15.1,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-08-31 00:00:00,16.2,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-09-01 00:00:00,9.9,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-09-02 00:00:00,13.5,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-09-03 00:00:00,6.3,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-09-04 00:00:00,12.7,DEADMEN VALLEY,NT,,1943
-124.46833333333332,61.25666666666667,,22010H0,2001-09-05 00:00:00,11.5,DEADMEN VALLEY,NT,,1943
