x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-110.68222222222222,62.41861111111111,,-11,2013-11-15 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-25,2000-01-09 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-14.5,2013-03-20 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-13.8,2014-05-03 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-9,2005-04-17 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,19.5,2001-08-17 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-15,2010-12-17 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-11.5,2006-11-15 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,7.9,2008-10-12 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-12.8,2002-04-11 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-17.9,2009-03-23 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-11,2001-04-10 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,10,2000-09-06 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,3.3,2005-10-09 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-9.4,2009-11-02 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,14.1,2009-07-04 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,9.8,2004-06-17 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,1,2014-10-09 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,10.3,2004-06-03 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-21,2001-02-05 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-14.5,2003-12-04 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-37.5,2013-01-15 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,8,2010-09-27 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,5,1999-09-13 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,1.8,2013-10-02 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,11.8,2005-06-28 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,,2006-12-09 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-16.3,2001-03-12 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,11.2,2005-05-28 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-42,2008-01-29 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-7,2014-03-16 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,8.8,2016-06-17 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,12.5,2006-06-08 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,14.8,2008-06-24 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,11.5,2004-06-02 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-34,2000-01-17 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-27.8,2013-01-06 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,7.7,2010-06-01 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,12.8,2001-08-23 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-29.8,2002-02-28 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-14.5,2006-03-04 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,,2010-01-15 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,,2008-01-31 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,11,2006-05-31 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-29.3,2000-01-01 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-18.5,2001-01-11 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,,2007-05-19 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-14.9,2008-01-03 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-25.8,2016-02-09 00:00:00,220L001,LUTSELK'E A,NT,
-110.68222222222222,62.41861111111111,,-13.6,2006-11-10 00:00:00,220L001,LUTSELK'E A,NT,
