x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-133.94166666666666,68.91083333333333,NT,220LQJJ,0,,STORM HILLS,-36.5,1993-01-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-36.2,1993-02-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-28.5,2013-12-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.2,2013-12-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-21.1,2013-12-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-24.4,2013-12-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-28.5,2013-12-30 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-27.1,2013-12-29 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-26.4,2013-12-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-21.8,2013-12-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-22.5,2013-12-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-24.6,2013-12-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-23.2,2013-12-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-21.4,2013-12-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-24.2,2013-12-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-29.5,2013-12-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25,2013-12-25 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-29.4,2013-12-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-29.5,2013-12-31 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-33.5,2013-12-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-27.1,2013-12-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-26.8,2013-12-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-20.6,2013-12-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-30.5,2013-12-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-26.3,2014-01-12 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-31,2014-01-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-31.2,2014-01-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-22.3,2014-01-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-17.3,2014-01-21 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-20.4,2014-01-24 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.9,2014-01-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,,2014-01-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-15.1,2014-01-26 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-13.1,2014-01-27 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-26.8,2014-01-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-20.4,2014-01-28 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-31.6,2014-01-17 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.3,2014-01-09 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,,2014-01-29 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-27,2014-01-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-22.7,2014-01-25 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-27.5,2014-01-14 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-22.9,2014-01-23 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-13.3,2014-01-22 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-24.7,2014-01-20 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.6,2014-01-19 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-26,2014-01-11 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-27.7,2014-01-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-29.9,2014-01-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-28.6,2014-01-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.5,2014-01-13 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-26.3,2014-01-10 00:00:00
