x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-113.86251111111112,63.6028,220N004,32,13.6,NT,LOWER CARP LAKE,,1998-06-22 00:00:00
-113.86251111111112,63.6028,220N004,48,11.2,NT,LOWER CARP LAKE,93,1998-06-23 00:00:00
-113.86251111111112,63.6028,220N004,0,11.5,NT,LOWER CARP LAKE,98,1998-06-24 00:00:00
-113.86251111111112,63.6028,220N004,50,13.6,NT,LOWER CARP LAKE,98,1998-06-25 00:00:00
-113.86251111111112,63.6028,220N004,48,14.7,NT,LOWER CARP LAKE,93,1998-06-26 00:00:00
-113.86251111111112,63.6028,220N004,37,17.8,NT,LOWER CARP LAKE,96,1998-06-27 00:00:00
-113.86251111111112,63.6028,220N004,43,17.4,NT,LOWER CARP LAKE,91,1998-06-28 00:00:00
-113.86251111111112,63.6028,220N004,46,17.6,NT,LOWER CARP LAKE,80,1998-06-29 00:00:00
-113.86251111111112,63.6028,220N004,39,11.6,NT,LOWER CARP LAKE,78,1998-06-30 00:00:00
-113.86251111111112,63.6028,220N004,,13.7,NT,LOWER CARP LAKE,,1998-07-01 00:00:00
-113.86251111111112,63.6028,220N004,,17.1,NT,LOWER CARP LAKE,,1998-07-02 00:00:00
-113.86251111111112,63.6028,220N004,,19.9,NT,LOWER CARP LAKE,,1998-07-03 00:00:00
-113.86251111111112,63.6028,220N004,,22.8,NT,LOWER CARP LAKE,,1998-07-04 00:00:00
-113.86251111111112,63.6028,220N004,,24.8,NT,LOWER CARP LAKE,,1998-07-05 00:00:00
-113.86251111111112,63.6028,220N004,,25.6,NT,LOWER CARP LAKE,,1998-07-06 00:00:00
-113.86251111111112,63.6028,220N004,,24.6,NT,LOWER CARP LAKE,,1998-07-07 00:00:00
-113.86251111111112,63.6028,220N004,,21.4,NT,LOWER CARP LAKE,,1998-07-08 00:00:00
-113.86251111111112,63.6028,220N004,,19.8,NT,LOWER CARP LAKE,,1998-07-09 00:00:00
-113.86251111111112,63.6028,220N004,,18.8,NT,LOWER CARP LAKE,,1998-07-10 00:00:00
-113.86251111111112,63.6028,220N004,,20.9,NT,LOWER CARP LAKE,,1998-07-11 00:00:00
-113.86251111111112,63.6028,220N004,,22.7,NT,LOWER CARP LAKE,,1998-07-12 00:00:00
-113.86251111111112,63.6028,220N004,,13.4,NT,LOWER CARP LAKE,,1998-07-13 00:00:00
-113.86251111111112,63.6028,220N004,,11.7,NT,LOWER CARP LAKE,,1998-07-14 00:00:00
-113.86251111111112,63.6028,220N004,,15.9,NT,LOWER CARP LAKE,,1998-07-15 00:00:00
-113.86251111111112,63.6028,220N004,,17.5,NT,LOWER CARP LAKE,,1998-07-16 00:00:00
-113.86251111111112,63.6028,220N004,,19.8,NT,LOWER CARP LAKE,,1998-07-17 00:00:00
-113.86251111111112,63.6028,220N004,,18,NT,LOWER CARP LAKE,,1998-07-18 00:00:00
-113.86251111111112,63.6028,220N004,,15.8,NT,LOWER CARP LAKE,,1998-07-19 00:00:00
-113.86251111111112,63.6028,220N004,,14.8,NT,LOWER CARP LAKE,,1998-07-20 00:00:00
-113.86251111111112,63.6028,220N004,,16.9,NT,LOWER CARP LAKE,,1998-07-21 00:00:00
-113.86251111111112,63.6028,220N004,,18.7,NT,LOWER CARP LAKE,,1998-07-22 00:00:00
-113.86251111111112,63.6028,220N004,,19.4,NT,LOWER CARP LAKE,,1998-07-23 00:00:00
-113.86251111111112,63.6028,220N004,,17.6,NT,LOWER CARP LAKE,,1998-07-24 00:00:00
-113.86251111111112,63.6028,220N004,,15.3,NT,LOWER CARP LAKE,,1998-07-25 00:00:00
-113.86251111111112,63.6028,220N004,,16.2,NT,LOWER CARP LAKE,,1998-07-26 00:00:00
-113.86251111111112,63.6028,220N004,,11.1,NT,LOWER CARP LAKE,,1998-07-27 00:00:00
-113.86251111111112,63.6028,220N004,,14.1,NT,LOWER CARP LAKE,,1998-07-28 00:00:00
-113.86251111111112,63.6028,220N004,,15.9,NT,LOWER CARP LAKE,,1998-07-29 00:00:00
-113.86251111111112,63.6028,220N004,,16.5,NT,LOWER CARP LAKE,,1998-07-30 00:00:00
-113.86251111111112,63.6028,220N004,,18.1,NT,LOWER CARP LAKE,,1998-07-31 00:00:00
-113.86251111111112,63.6028,220N004,,19,NT,LOWER CARP LAKE,,1998-08-01 00:00:00
-113.86251111111112,63.6028,220N004,,20.9,NT,LOWER CARP LAKE,,1998-08-02 00:00:00
-113.86251111111112,63.6028,220N004,,21.7,NT,LOWER CARP LAKE,,1998-08-03 00:00:00
-113.86251111111112,63.6028,220N004,,19.9,NT,LOWER CARP LAKE,,1998-08-04 00:00:00
-113.86251111111112,63.6028,220N004,,17.5,NT,LOWER CARP LAKE,,1998-08-05 00:00:00
-113.86251111111112,63.6028,220N004,,15.5,NT,LOWER CARP LAKE,,1998-08-06 00:00:00
-113.86251111111112,63.6028,220N004,,13.5,NT,LOWER CARP LAKE,,1998-08-07 00:00:00
-113.86251111111112,63.6028,220N004,,11.5,NT,LOWER CARP LAKE,,1998-08-08 00:00:00
-113.86251111111112,63.6028,220N004,,17.2,NT,LOWER CARP LAKE,,1998-08-09 00:00:00
-113.86251111111112,63.6028,220N004,,18.8,NT,LOWER CARP LAKE,,1998-08-10 00:00:00
-113.86251111111112,63.6028,220N004,,12.5,NT,LOWER CARP LAKE,,1998-08-11 00:00:00
-113.86251111111112,63.6028,220N004,,13,NT,LOWER CARP LAKE,,1998-08-12 00:00:00
-113.86251111111112,63.6028,220N004,,14.5,NT,LOWER CARP LAKE,,1998-08-13 00:00:00
-113.86251111111112,63.6028,220N004,,12.8,NT,LOWER CARP LAKE,,1998-08-14 00:00:00
-113.86251111111112,63.6028,220N004,,14.4,NT,LOWER CARP LAKE,,1998-08-15 00:00:00
-113.86251111111112,63.6028,220N004,,14.6,NT,LOWER CARP LAKE,,1998-08-16 00:00:00
-113.86251111111112,63.6028,220N004,,18,NT,LOWER CARP LAKE,,1998-08-17 00:00:00
