Longitude,Latitude,MAX_REL_HUMIDITY,Climate ID,Date,MEAN_TEMPERATURE,Name,Province,SPEED_MAX_GUST,Station ID
-133.5017777777778,68.74633333333334,,220N005,1998-09-14 00:00:00,1.4,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-15 00:00:00,2.7,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-16 00:00:00,8.2,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-17 00:00:00,10.7,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-18 00:00:00,12.2,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-19 00:00:00,12.5,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-20 00:00:00,7.4,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-21 00:00:00,5.1,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-22 00:00:00,0.8,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-23 00:00:00,2.3,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-24 00:00:00,4.5,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-25 00:00:00,4.8,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-26 00:00:00,4.3,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-27 00:00:00,1.3,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-28 00:00:00,0.9,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-29 00:00:00,1.0,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-09-30 00:00:00,-2.4,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-01 00:00:00,-2.6,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-02 00:00:00,-2.6,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-03 00:00:00,-2.4,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-04 00:00:00,-0.6,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-05 00:00:00,-3.1,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-06 00:00:00,-4.7,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-07 00:00:00,-6.2,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-08 00:00:00,-5.5,TRAIL VALLEY,NT,,2090
-133.5017777777778,68.74633333333334,,220N005,1998-10-09 00:00:00,-4.0,TRAIL VALLEY,NT,,2090
