Longitude,Latitude,MAX_REL_HUMIDITY,Climate ID,Date,MEAN_TEMPERATURE,Name,Province,SPEED_MAX_GUST,Station ID
-113.85,54.15,,301GK5H,1999-09-26 00:00:00,8.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-02-16 00:00:00,-20.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2004-09-29 00:00:00,7.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1999-01-03 00:00:00,-15.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2008-03-16 00:00:00,-13.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1997-09-05 00:00:00,14.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2004-02-11 00:00:00,-9.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1998-11-20 00:00:00,-8.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2004-03-15 00:00:00,0.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-07-09 00:00:00,19.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-07-12 00:00:00,14.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-10-19 00:00:00,2.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2002-12-06 00:00:00,-3.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-12-24 00:00:00,-4.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2004-01-16 00:00:00,-11.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1999-10-19 00:00:00,12.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1998-05-13 00:00:00,11.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1996-10-13 00:00:00,7.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2002-10-27 00:00:00,-2.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1997-12-29 00:00:00,2.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2005-03-11 00:00:00,9.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2008-01-31 00:00:00,-26.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1996-04-03 00:00:00,-4.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1998-04-13 00:00:00,1.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1994-11-10 00:00:00,-3.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1998-02-05 00:00:00,-8.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-06-02 00:00:00,15.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2005-06-22 00:00:00,16.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2003-01-15 00:00:00,-13.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-04-22 00:00:00,7.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-11-01 00:00:00,5.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-02-08 00:00:00,0.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1994-09-20 00:00:00,11.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-01-04 00:00:00,1.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2002-06-06 00:00:00,13.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-05-29 00:00:00,21.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-01-10 00:00:00,-5.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1999-05-02 00:00:00,9.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-09-09 00:00:00,16.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-05-19 00:00:00,8.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-08-20 00:00:00,15.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-09-18 00:00:00,6.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2003-07-13 00:00:00,18.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-06-04 00:00:00,13.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1997-04-17 00:00:00,10.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1998-10-10 00:00:00,0.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1994-05-04 00:00:00,6.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1997-04-15 00:00:00,4.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1993-12-11 00:00:00,-0.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1994-02-11 00:00:00,-17.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1999-12-12 00:00:00,-4.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2004-12-18 00:00:00,-2.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-10-03 00:00:00,7.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-06-03 00:00:00,12.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2003-03-16 00:00:00,-0.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2005-06-30 00:00:00,17.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2003-08-24 00:00:00,13.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-07-13 00:00:00,19.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-05-18 00:00:00,19.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1996-05-03 00:00:00,3.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-04-13 00:00:00,8.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1999-07-20 00:00:00,20.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-08-15 00:00:00,20.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2007-08-10 00:00:00,12.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1995-11-27 00:00:00,-16.3,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2003-02-13 00:00:00,-7.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2007-09-25 00:00:00,13.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2006-06-15 00:00:00,16.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2007-05-21 00:00:00,9.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2000-05-08 00:00:00,6.0,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2001-10-20 00:00:00,,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1998-01-31 00:00:00,-2.8,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,2007-06-15 00:00:00,14.5,WESTLOCK LITKE,AB,,2656
-113.85,54.15,,301GK5H,1994-05-11 00:00:00,15.0,WESTLOCK LITKE,AB,,2656
