x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-114.48195,49.627525,AB,3051R4R,,,CROWSNEST,,1993-06-04 00:00:00
-114.48195,49.627525,AB,3051R4R,39,,CROWSNEST,9.2,1993-06-07 00:00:00
-114.48195,49.627525,AB,3051R4R,35,,CROWSNEST,12.3,1993-06-08 00:00:00
-114.48195,49.627525,AB,3051R4R,67,,CROWSNEST,9.3,1993-06-09 00:00:00
-114.48195,49.627525,AB,3051R4R,61,,CROWSNEST,10.5,1993-06-10 00:00:00
-114.48195,49.627525,AB,3051R4R,32,,CROWSNEST,7.3,1993-06-11 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,3.7,1993-06-12 00:00:00
-114.48195,49.627525,AB,3051R4R,35,,CROWSNEST,10.4,1993-06-13 00:00:00
-114.48195,49.627525,AB,3051R4R,32,,CROWSNEST,10.1,1993-06-14 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,10.8,1993-06-15 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,9.2,1993-06-16 00:00:00
-114.48195,49.627525,AB,3051R4R,37,,CROWSNEST,10.8,1993-06-17 00:00:00
-114.48195,49.627525,AB,3051R4R,48,,CROWSNEST,13.4,1993-06-18 00:00:00
-114.48195,49.627525,AB,3051R4R,59,,CROWSNEST,16,1993-06-19 00:00:00
-114.48195,49.627525,AB,3051R4R,67,,CROWSNEST,15.6,1993-06-20 00:00:00
-114.48195,49.627525,AB,3051R4R,54,,CROWSNEST,16,1993-06-21 00:00:00
-114.48195,49.627525,AB,3051R4R,74,,CROWSNEST,8,1993-06-22 00:00:00
-114.48195,49.627525,AB,3051R4R,67,,CROWSNEST,6.8,1993-06-23 00:00:00
-114.48195,49.627525,AB,3051R4R,43,,CROWSNEST,10.4,1993-06-24 00:00:00
-114.48195,49.627525,AB,3051R4R,46,,CROWSNEST,10.8,1993-06-25 00:00:00
-114.48195,49.627525,AB,3051R4R,50,,CROWSNEST,14,1993-06-26 00:00:00
-114.48195,49.627525,AB,3051R4R,56,,CROWSNEST,12.8,1993-06-27 00:00:00
-114.48195,49.627525,AB,3051R4R,41,,CROWSNEST,10.4,1993-06-28 00:00:00
-114.48195,49.627525,AB,3051R4R,44,,CROWSNEST,8.1,1993-06-29 00:00:00
-114.48195,49.627525,AB,3051R4R,50,,CROWSNEST,10.8,1993-06-30 00:00:00
-114.48195,49.627525,AB,3051R4R,41,,CROWSNEST,11.9,1993-07-01 00:00:00
-114.48195,49.627525,AB,3051R4R,33,,CROWSNEST,10,1993-07-02 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,11.6,1993-07-03 00:00:00
-114.48195,49.627525,AB,3051R4R,39,,CROWSNEST,12.9,1993-07-04 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,11.8,1993-07-06 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,9.2,1993-07-07 00:00:00
-114.48195,49.627525,AB,3051R4R,46,,CROWSNEST,11.7,1993-07-08 00:00:00
-114.48195,49.627525,AB,3051R4R,0,,CROWSNEST,7.4,1993-07-09 00:00:00
