x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-118.1,52.68333333333333,,-2.5,2004-02-26 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,9.9,2000-08-07 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-3.7,2000-02-08 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,0.2,2001-05-29 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,1.1,2002-04-21 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-2.5,2005-10-03 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-9.7,2007-02-21 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,7.8,2005-07-20 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-5.9,2003-02-01 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-10.9,1996-10-30 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,8.7,2006-06-02 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,1.2,2005-12-25 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,10.5,1997-08-10 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,2.4,2002-10-08 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-7.7,2001-12-01 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,3,1998-09-26 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,3.3,2002-10-19 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,2.5,2004-04-10 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,,2007-04-27 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-7.6,2007-11-24 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,11.3,1998-08-20 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,6.2,1998-05-19 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,-7.5,2005-11-05 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,1.7,1998-04-26 00:00:00,305421B,MARMOT BASIN,AB,
-118.1,52.68333333333333,,1.6,1996-02-13 00:00:00,305421B,MARMOT BASIN,AB,
