x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-114.47305555555556,49.80305555555555,,,2002-01-01 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,10.5,1999-06-29 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,,2002-01-26 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,-10.1,2007-11-20 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,11.7,1998-05-23 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,10.7,2006-08-24 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,0.9,1998-03-26 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,15.4,2000-07-20 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,6.8,2003-06-06 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,2.8,1999-07-15 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,,2002-06-29 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,3,2006-04-12 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,1.7,2006-01-23 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,11.7,2004-07-10 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,-1.4,2004-03-15 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,1.1,2007-10-18 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,16.3,2007-06-28 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,20.7,1998-09-02 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,1.4,2003-03-21 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,6.9,1998-05-06 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,0.9,1998-10-18 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,0.1,2007-10-06 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,-4.1,1999-03-16 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,5.9,2003-09-28 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,6.6,2005-05-25 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,2.5,2004-03-16 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,-7.1,2000-03-15 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,2.8,2006-05-09 00:00:00,305FQKP,VICARY CREEK,AB,
-114.47305555555556,49.80305555555555,,1,2005-09-23 00:00:00,305FQKP,VICARY CREEK,AB,
