x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-113.2880575,54.72222305555555,,3060L20,2006-04-07 00:00:00,8.3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2009-02-07 00:00:00,-4.5,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2007-02-05 00:00:00,-12,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1992-01-26 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1989-04-21 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2001-02-18 00:00:00,-17.3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1992-08-26 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1999-06-07 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1990-09-14 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1997-11-29 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1999-12-18 00:00:00,-8,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1993-03-15 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1997-10-06 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1991-08-01 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2005-08-23 00:00:00,13,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2005-05-29 00:00:00,13.3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2006-09-13 00:00:00,13.8,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1991-07-08 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1995-10-07 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1994-07-13 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1994-07-19 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1992-08-31 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2003-11-22 00:00:00,-24,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1999-11-07 00:00:00,-3.3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1992-05-05 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2009-07-16 00:00:00,19.3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1987-05-21 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2004-09-08 00:00:00,2.5,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2006-06-22 00:00:00,15,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1994-06-03 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2001-09-19 00:00:00,13.3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2002-09-18 00:00:00,9.8,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1987-10-18 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2002-07-06 00:00:00,14.8,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1996-12-19 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1992-02-04 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1988-11-01 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1989-06-22 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2012-03-26 00:00:00,-3,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1990-01-03 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2004-02-10 00:00:00,-4,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1992-03-08 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1988-09-22 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,1991-12-16 00:00:00,,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2001-09-16 00:00:00,11,ATHABASCA 1,AB,
-113.2880575,54.72222305555555,,3060L20,2005-02-22 00:00:00,-8.3,ATHABASCA 1,AB,
