x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-113.9136125,54.632780277777776,,30619E0,2004-06-18 00:00:00,12.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1997-07-29 00:00:00,21,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1989-09-26 00:00:00,12.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1999-11-28 00:00:00,-15.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2000-09-11 00:00:00,6,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2000-03-14 00:00:00,-16.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2007-05-12 00:00:00,12,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2005-07-27 00:00:00,14.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-09-04 00:00:00,15.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1996-10-27 00:00:00,2.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1994-12-22 00:00:00,-2.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1991-08-06 00:00:00,16.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1998-01-30 00:00:00,-2.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2001-07-06 00:00:00,15.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2003-06-17 00:00:00,13,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-11-27 00:00:00,-16,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1990-10-11 00:00:00,-0.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2006-05-23 00:00:00,11.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2004-07-16 00:00:00,20.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2004-06-14 00:00:00,10,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-12-21 00:00:00,-15.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1999-04-03 00:00:00,0.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-03-09 00:00:00,-11.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1993-08-13 00:00:00,12.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2006-05-13 00:00:00,9.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1992-11-27 00:00:00,-4.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1990-04-15 00:00:00,0.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1998-07-17 00:00:00,20.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2000-09-22 00:00:00,1.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1996-02-20 00:00:00,-4.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2007-10-26 00:00:00,-1.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-11-16 00:00:00,-1,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1990-10-05 00:00:00,0,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2003-11-08 00:00:00,-9,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2004-12-05 00:00:00,-17,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-11-06 00:00:00,-8.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1991-07-29 00:00:00,11.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2003-09-21 00:00:00,7.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1993-10-22 00:00:00,3.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2003-03-26 00:00:00,-2,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1994-07-24 00:00:00,19.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1998-10-20 00:00:00,9,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1990-09-01 00:00:00,13.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1994-05-08 00:00:00,9,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1987-11-18 00:00:00,-1.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2001-11-24 00:00:00,-10,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1991-06-05 00:00:00,10.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1994-04-12 00:00:00,6.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2005-11-17 00:00:00,3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-05-03 00:00:00,5.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1995-02-01 00:00:00,1.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1991-09-06 00:00:00,14.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1991-09-03 00:00:00,11,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1993-06-24 00:00:00,10,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2002-01-17 00:00:00,-11.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1988-07-18 00:00:00,17,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2004-06-20 00:00:00,15,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1996-02-08 00:00:00,1,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1994-11-30 00:00:00,-10.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2002-04-25 00:00:00,-1.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1991-03-07 00:00:00,-4,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2000-12-07 00:00:00,-2.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1996-06-17 00:00:00,8.3,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1992-02-29 00:00:00,6,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2002-02-14 00:00:00,0.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2008-02-01 00:00:00,-29,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2003-12-27 00:00:00,-15.5,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,1998-03-15 00:00:00,-2.8,CROSS LAKE,AB,
-113.9136125,54.632780277777776,,30619E0,2005-11-27 00:00:00,-3,CROSS LAKE,AB,
