Longitude,Latitude,MAX_REL_HUMIDITY,Climate ID,Date,MEAN_TEMPERATURE,Name,Province,SPEED_MAX_GUST,Station ID
-115.3,54.55,,306BGCQ,2000-04-22 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-08-01 00:00:00,17.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-08-29 00:00:00,6.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-05-13 00:00:00,6.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-04-29 00:00:00,6.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-09-26 00:00:00,7.8,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-09-12 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-08-28 00:00:00,14.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-10-01 00:00:00,4.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1995-06-29 00:00:00,11.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-07-28 00:00:00,15.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-05-01 00:00:00,9.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-06-06 00:00:00,12.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-05-30 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-06-03 00:00:00,10.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-08-30 00:00:00,14.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-08-06 00:00:00,15.8,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-07-23 00:00:00,12.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-04-21 00:00:00,7.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1993-08-06 00:00:00,18.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-07-21 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-10-19 00:00:00,-1.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-06-26 00:00:00,12.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-05-05 00:00:00,-0.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-09-03 00:00:00,17.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-04-27 00:00:00,10.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-09-24 00:00:00,14.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1997-07-17 00:00:00,11.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2007-07-08 00:00:00,12.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-08-30 00:00:00,8.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-09-04 00:00:00,16.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-09-25 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1996-08-08 00:00:00,13.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1995-09-08 00:00:00,13.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1997-05-11 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-07-10 00:00:00,18.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1989-08-17 00:00:00,13.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-05-24 00:00:00,19.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1998-07-08 00:00:00,16.9,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-04-11 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-05-26 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2005-05-30 00:00:00,12.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1998-07-20 00:00:00,10.9,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-06-23 00:00:00,9.8,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2010-07-04 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-07-01 00:00:00,11.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-05-10 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-05-19 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2002-05-05 00:00:00,-2.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2007-09-25 00:00:00,4.7,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-06-27 00:00:00,15.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1993-07-29 00:00:00,15.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-05-16 00:00:00,5.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2007-08-28 00:00:00,8.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-08-30 00:00:00,17.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-09-28 00:00:00,7.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-04-01 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-08-28 00:00:00,8.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-04-08 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-04-25 00:00:00,9.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1993-06-26 00:00:00,11.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1990-06-10 00:00:00,10.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1993-05-09 00:00:00,6.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-07-08 00:00:00,15.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1993-07-18 00:00:00,12.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2005-08-22 00:00:00,12.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1989-09-03 00:00:00,12.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-05-30 00:00:00,8.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-09-22 00:00:00,10.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-05-18 00:00:00,13.7,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-08-01 00:00:00,10.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-05-27 00:00:00,13.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-09-23 00:00:00,12.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-09-22 00:00:00,10.9,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-06-30 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2002-08-07 00:00:00,12.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-07-29 00:00:00,10.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1998-08-12 00:00:00,18.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-08-04 00:00:00,16.7,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-06-10 00:00:00,11.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-04-16 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-09-06 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1997-05-02 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1993-08-13 00:00:00,10.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2008-08-19 00:00:00,16.7,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2007-06-17 00:00:00,14.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-09-10 00:00:00,6.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-06-13 00:00:00,14.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-04-08 00:00:00,3.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-06-27 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-08-07 00:00:00,15.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1995-07-18 00:00:00,14.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-07-03 00:00:00,15.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-09-11 00:00:00,6.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1989-08-19 00:00:00,14.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-05-11 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2003-05-16 00:00:00,6.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1997-05-18 00:00:00,5.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2010-07-11 00:00:00,15.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2011-05-05 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1991-09-05 00:00:00,15.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2010-06-19 00:00:00,14.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2010-08-24 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-05-09 00:00:00,8.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-05-01 00:00:00,7.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-05-03 00:00:00,4.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-05-05 00:00:00,10.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1997-06-29 00:00:00,8.4,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1997-07-26 00:00:00,10.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-05-09 00:00:00,-0.2,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-07-06 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-08-08 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-06-25 00:00:00,8.3,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-06-20 00:00:00,15.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-04-12 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-08-05 00:00:00,19.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2004-09-25 00:00:00,6.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1998-09-08 00:00:00,11.7,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2007-06-12 00:00:00,9.6,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1990-08-31 00:00:00,8.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2010-04-18 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-05-27 00:00:00,11.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1989-09-09 00:00:00,4.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-06-24 00:00:00,14.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1994-04-06 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2011-06-18 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2006-07-03 00:00:00,19.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2000-09-23 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1989-08-07 00:00:00,17.5,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1992-06-10 00:00:00,13.0,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-07-07 00:00:00,,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,1999-09-28 00:00:00,1.8,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2001-05-17 00:00:00,6.9,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2002-07-04 00:00:00,10.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2009-08-07 00:00:00,13.1,FREEMAN RIVER,AB,,3542
-115.3,54.55,,306BGCQ,2010-06-28 00:00:00,,FREEMAN RIVER,AB,,3542
