x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-115.88333333333334,53.2,,306KD60,1996-06-24 00:00:00,6.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2006-04-13 00:00:00,6.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1999-07-08 00:00:00,13.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1995-07-09 00:00:00,16.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2010-06-14 00:00:00,12.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-08-07 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2008-06-12 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1999-07-22 00:00:00,17.2,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2005-08-15 00:00:00,7.2,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2006-05-21 00:00:00,14.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-07-11 00:00:00,17.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-07-24 00:00:00,20,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-05-02 00:00:00,11.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2000-06-16 00:00:00,10.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-08-26 00:00:00,16.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-07-29 00:00:00,17.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1991-09-28 00:00:00,11.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1991-09-26 00:00:00,12.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2000-07-05 00:00:00,13,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-07-25 00:00:00,22.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1997-08-13 00:00:00,15.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-08-05 00:00:00,18.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1998-06-16 00:00:00,10,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1991-10-08 00:00:00,5.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-06-06 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-05-25 00:00:00,15.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2006-06-15 00:00:00,14,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1991-05-23 00:00:00,6.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2000-09-15 00:00:00,12,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-08-16 00:00:00,18.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-04-08 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2008-07-07 00:00:00,13.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2002-09-17 00:00:00,8.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-09-07 00:00:00,12,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-07-02 00:00:00,9.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-08-21 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2008-07-12 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-05-15 00:00:00,7.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2006-09-08 00:00:00,14,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2000-09-17 00:00:00,15,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2005-06-18 00:00:00,9.3,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1993-05-06 00:00:00,13.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-06-01 00:00:00,18,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2000-05-02 00:00:00,9.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1999-09-12 00:00:00,9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-07-10 00:00:00,12.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-06-07 00:00:00,11.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1991-05-22 00:00:00,4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-08-03 00:00:00,17.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-04-01 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-04-29 00:00:00,3.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-06-06 00:00:00,13.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2005-07-10 00:00:00,11.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2010-08-05 00:00:00,16.2,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-08-09 00:00:00,18.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-08-06 00:00:00,14.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-10-08 00:00:00,6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2000-05-24 00:00:00,5.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2010-07-10 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-09-16 00:00:00,7.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2010-07-18 00:00:00,16.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2007-06-10 00:00:00,13.7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1999-06-07 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-07-19 00:00:00,13.9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1998-08-22 00:00:00,16.9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2007-05-06 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-07-12 00:00:00,16.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-08-24 00:00:00,5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-04-19 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-04-14 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2007-06-29 00:00:00,17.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2010-07-03 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2005-06-11 00:00:00,12.9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1998-07-18 00:00:00,17.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1995-06-26 00:00:00,,ETA LAKE,AB,
