x,y,SPEED_MAX_GUST,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-4,,306KFE3,1988-11-23 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,,,306KFE3,1990-06-29 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-12,,306KFE3,1989-02-26 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-17.5,,306KFE3,1996-12-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,18,,306KFE3,1996-07-03 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-13,,306KFE3,1996-01-01 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,10.5,,306KFE3,1987-08-26 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,0.5,,306KFE3,1993-03-05 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-21.5,,306KFE3,1989-01-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,,,306KFE3,1992-06-23 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,15,,306KFE3,1989-06-01 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,1,,306KFE3,1990-02-28 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,10,,306KFE3,1990-08-27 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,19,,306KFE3,1989-07-14 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-23.3,,306KFE3,1995-01-03 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,13.5,,306KFE3,1997-06-24 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-19,,306KFE3,1989-12-17 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,8.5,,306KFE3,1994-06-15 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-17.5,,306KFE3,1997-03-13 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,3,,306KFE3,1988-11-30 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,20,,306KFE3,1994-08-15 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,16,,306KFE3,1994-06-27 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-21.5,,306KFE3,1989-02-14 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,2.5,,306KFE3,1996-10-23 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,20.5,,306KFE3,1988-06-28 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,3.3,,306KFE3,1996-04-21 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,2.5,,306KFE3,1987-10-08 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-8,,306KFE3,1987-12-05 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-3.5,,306KFE3,1992-11-19 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-13.5,,306KFE3,1996-12-02 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,14.5,,306KFE3,1990-06-18 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,11.5,,306KFE3,1991-08-25 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,16.5,,306KFE3,1990-09-05 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-13,,306KFE3,1991-10-31 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-21,,306KFE3,1993-11-22 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,11,,306KFE3,1988-10-06 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,14,,306KFE3,1988-09-06 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,,,306KFE3,1990-07-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-10,,306KFE3,1995-12-23 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,12,,306KFE3,1987-08-18 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-7,,306KFE3,1993-10-29 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-2,,306KFE3,1994-03-15 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-18.5,,306KFE3,1995-01-05 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-3.5,,306KFE3,1988-01-25 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,11.5,,306KFE3,1987-09-29 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,4,,306KFE3,1991-05-03 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,11,,306KFE3,1995-08-21 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,4,,306KFE3,1989-10-21 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-12.3,,306KFE3,1994-11-21 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,12.5,,306KFE3,1991-07-30 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-0.5,,306KFE3,1990-10-06 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-5.5,,306KFE3,1995-03-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,6,,306KFE3,1995-10-13 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,2.5,,306KFE3,1991-10-19 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,,,306KFE3,1990-02-17 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-8.5,,306KFE3,1996-12-05 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,4.8,,306KFE3,1995-10-15 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,2,,306KFE3,1992-03-23 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-6.8,,306KFE3,1990-01-18 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,6.8,,306KFE3,1987-04-15 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-5.5,,306KFE3,1994-03-23 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-16.5,,306KFE3,1991-12-08 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-11,,306KFE3,1993-03-17 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,14.5,,306KFE3,1988-08-21 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,9.5,,306KFE3,1996-06-17 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,15,,306KFE3,1989-08-20 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-3,,306KFE3,1988-12-18 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,6,,306KFE3,1991-04-12 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-4.5,,306KFE3,1992-11-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,10.5,,306KFE3,1989-09-04 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-11.5,,306KFE3,1988-01-01 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-5.5,,306KFE3,1996-02-22 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,6,,306KFE3,1991-05-05 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-18.3,,306KFE3,1994-11-25 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,7.5,,306KFE3,1993-09-30 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-23.3,,306KFE3,1994-02-22 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,5,,306KFE3,1996-09-25 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,14,,306KFE3,1989-08-02 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,13.5,,306KFE3,1993-06-17 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-20.5,,306KFE3,1988-01-06 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,0.5,,306KFE3,1997-03-22 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,12.3,,306KFE3,1996-06-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-16,,306KFE3,1990-01-04 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-16.8,,306KFE3,1989-03-04 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,12,,306KFE3,1994-08-09 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-20,,306KFE3,1988-02-07 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-14,,306KFE3,1992-12-06 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,5,,306KFE3,1990-03-27 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,6.5,,306KFE3,1995-10-07 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-3,,306KFE3,1995-04-08 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,20,,306KFE3,1995-07-10 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-11,,306KFE3,1996-12-18 00:00:00
-114.91666666666667,54.36666666666667,,AB,FORT ASSINIBOINE,-17,,306KFE3,1991-11-06 00:00:00
