x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-117.35,56.63333333333333,,3071965,2001-07-01 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-05-29 00:00:00,12.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-06-23 00:00:00,10.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-09-05 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-04-24 00:00:00,12.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-09-15 00:00:00,1,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-09-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-08-04 00:00:00,17,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-07-20 00:00:00,18.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-09-06 00:00:00,15.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-08-17 00:00:00,15.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-05-15 00:00:00,16.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2008-08-14 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-09-07 00:00:00,14.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-09-11 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-04-10 00:00:00,0,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-08-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-07-21 00:00:00,18.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-06-07 00:00:00,12.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-09-28 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1993-05-27 00:00:00,9,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-08-06 00:00:00,17,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-09-08 00:00:00,10,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-09-26 00:00:00,7,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-04-07 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-07-26 00:00:00,18.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-06-16 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-06-16 00:00:00,17,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-10-27 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-06-14 00:00:00,17.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-09-07 00:00:00,15.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-04-24 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-09-13 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-06-04 00:00:00,17.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-09-13 00:00:00,18,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-04-10 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-04-27 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-06-12 00:00:00,12.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-04-13 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-08-16 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-05-03 00:00:00,8.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-08-02 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-05-30 00:00:00,17.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-05-18 00:00:00,8.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-07-09 00:00:00,17.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-08-29 00:00:00,18.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-06-02 00:00:00,17.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-07-27 00:00:00,20,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-06-30 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1993-07-23 00:00:00,17.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-09-14 00:00:00,5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1993-08-30 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-06-09 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-08-18 00:00:00,14.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-07-05 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-08-22 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-07-04 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-07-11 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2011-06-22 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-07-03 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-04-25 00:00:00,6,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-06-03 00:00:00,12.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-07-30 00:00:00,6.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-09-11 00:00:00,5.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-07-13 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-04-04 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-05-04 00:00:00,8.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-09-01 00:00:00,12.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-09-01 00:00:00,15.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-08-05 00:00:00,21.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-08-25 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-05-20 00:00:00,9,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-08-01 00:00:00,16.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-08-07 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-09-18 00:00:00,3.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-04-01 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-09-13 00:00:00,11,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-08-11 00:00:00,15.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-09-28 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-08-30 00:00:00,11,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-06-06 00:00:00,11.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-05-30 00:00:00,10.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-05-02 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1993-05-05 00:00:00,13,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-07-16 00:00:00,20.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-08-24 00:00:00,14.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-09-04 00:00:00,7,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2011-07-27 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-07-08 00:00:00,15.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-08-07 00:00:00,13.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-05-11 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-06-19 00:00:00,13.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-05-26 00:00:00,17,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-04-07 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-09-15 00:00:00,8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-08-04 00:00:00,17.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-06-04 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-07-25 00:00:00,20.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-08-24 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-06-11 00:00:00,19,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-09-16 00:00:00,12.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-08-25 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-05-06 00:00:00,9.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-06-21 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-05-01 00:00:00,5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-04-30 00:00:00,6.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-08-01 00:00:00,12.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-08-15 00:00:00,13.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-08-06 00:00:00,18.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-05-15 00:00:00,13.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-04-21 00:00:00,10.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-07-03 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1993-07-07 00:00:00,15,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-08-10 00:00:00,15.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-06-02 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-05-31 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-05-05 00:00:00,15,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-10-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-07-27 00:00:00,19,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-09-18 00:00:00,3.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-08-30 00:00:00,9.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-05-22 00:00:00,9,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-06-13 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-09-27 00:00:00,3.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-07-03 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-05-20 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-08-01 00:00:00,8.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-07-26 00:00:00,15.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-09-19 00:00:00,9,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-07-09 00:00:00,16.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-07-23 00:00:00,17,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-06-22 00:00:00,13,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-05-18 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-05-09 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-07-02 00:00:00,18.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-08-18 00:00:00,11.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2008-08-04 00:00:00,17.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-04-16 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-08-10 00:00:00,13.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-06-01 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-09-08 00:00:00,10.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-06-05 00:00:00,17,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-06-10 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-04-11 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-05-22 00:00:00,11,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-08-25 00:00:00,8.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-07-02 00:00:00,12.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-05-03 00:00:00,3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-05-25 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-07-13 00:00:00,18.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-08-03 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-09-17 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-09-23 00:00:00,14.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-07-11 00:00:00,21,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-08-04 00:00:00,18,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2008-06-25 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-07-30 00:00:00,20.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-06-10 00:00:00,13,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-06-15 00:00:00,12.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-06-17 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-09-23 00:00:00,3.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-05-06 00:00:00,10,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2011-06-27 00:00:00,11,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-10-01 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-05-25 00:00:00,11.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-06-01 00:00:00,15,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-04-03 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2001-06-30 00:00:00,15.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-09-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-08-05 00:00:00,19.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-05-17 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2011-06-05 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-07-08 00:00:00,18.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-05-11 00:00:00,12.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-05-21 00:00:00,11.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2009-06-15 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-06-09 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-09-09 00:00:00,10.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2000-05-20 00:00:00,10.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-07-04 00:00:00,12.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1996-04-03 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-05-09 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-09-28 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-07-18 00:00:00,18,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-06-26 00:00:00,13,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-06-25 00:00:00,18,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-04-10 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-08-16 00:00:00,9,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2003-08-23 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-06-24 00:00:00,16.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-07-20 00:00:00,20.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-08-22 00:00:00,13.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2004-05-06 00:00:00,-2.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-04-08 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-04-07 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-10-09 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-06-04 00:00:00,20,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2008-07-08 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-05-09 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-09-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-07-10 00:00:00,16.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-09-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-07-26 00:00:00,19,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-05-22 00:00:00,3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-05-28 00:00:00,7.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-09-04 00:00:00,6,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1999-06-17 00:00:00,21.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1998-05-15 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-08-08 00:00:00,13.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-06-13 00:00:00,9.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1993-05-07 00:00:00,10.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2008-08-17 00:00:00,22.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2006-05-27 00:00:00,10,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-05-12 00:00:00,11.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2008-09-29 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1997-08-04 00:00:00,18.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-07-18 00:00:00,19.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1988-04-25 00:00:00,6.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-08-17 00:00:00,18,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-08-05 00:00:00,21.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-05-21 00:00:00,9.3,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-06-14 00:00:00,12.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1995-06-27 00:00:00,16,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2002-09-11 00:00:00,10.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1987-08-01 00:00:00,15.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-09-14 00:00:00,0.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1989-06-16 00:00:00,14,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-05-19 00:00:00,3.8,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1990-08-23 00:00:00,5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2005-09-06 00:00:00,12,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1992-07-28 00:00:00,16.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1994-04-24 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2007-09-24 00:00:00,,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-08-28 00:00:00,8.5,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,1991-05-04 00:00:00,9,DEADWOOD LO,AB,
-117.35,56.63333333333333,,3071965,2010-06-28 00:00:00,,DEADWOOD LO,AB,
