Longitude,Latitude,MAX_REL_HUMIDITY,Climate ID,Date,MEAN_TEMPERATURE,Name,Province,SPEED_MAX_GUST,Station ID
-116.6,56,,3073F4M,2004-06-26 00:00:00,14.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2004-08-18 00:00:00,14.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1988-08-28 00:00:00,16.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2001-04-26 00:00:00,7.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2004-04-09 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2006-09-26 00:00:00,8.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1997-09-20 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1996-09-22 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2005-08-06 00:00:00,15.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2008-06-12 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2006-07-15 00:00:00,14.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1994-04-02 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1988-09-01 00:00:00,15.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1990-06-20 00:00:00,13.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1987-04-17 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1994-04-18 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1990-06-09 00:00:00,14.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2011-05-16 00:00:00,15.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2003-06-02 00:00:00,11.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2006-08-30 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2002-05-19 00:00:00,10.3,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1987-09-07 00:00:00,10.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2003-09-12 00:00:00,10.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1998-07-10 00:00:00,18.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1998-08-08 00:00:00,16.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1988-04-19 00:00:00,1.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2002-05-28 00:00:00,12.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2007-06-07 00:00:00,10.8,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1995-08-18 00:00:00,10.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1999-09-09 00:00:00,11.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1998-09-05 00:00:00,11.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2002-09-18 00:00:00,7.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1987-04-27 00:00:00,11.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2011-07-23 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1988-08-02 00:00:00,14.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1999-09-19 00:00:00,15.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1995-08-30 00:00:00,10.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1992-04-20 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2004-07-06 00:00:00,15.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2006-08-01 00:00:00,13.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2005-08-13 00:00:00,9.0,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,1996-08-15 00:00:00,14.5,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2009-09-04 00:00:00,,KIMIWAN LO,AB,,3680
-116.6,56,,3073F4M,2001-04-05 00:00:00,3.5,KIMIWAN LO,AB,,3680
