x,y,SPEED_MAX_GUST,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-21.3,,3075160,2002-03-18 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-20.5,,3075160,2002-03-19 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-20.5,,3075160,2002-03-20 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-18.4,,3075160,2002-03-21 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-14.4,,3075160,2002-03-22 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-3.6,,3075160,2002-03-23 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,0.9,,3075160,2002-03-24 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-2.5,,3075160,2002-03-25 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,0.3,,3075160,2002-03-26 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,2.2,,3075160,2002-03-27 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-2,,3075160,2002-03-28 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-7.8,,3075160,2002-03-29 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-11.4,,3075160,2002-03-30 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-8,,3075160,2002-03-31 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-15.5,,3075160,2002-04-01 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-15.9,,3075160,2002-04-02 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-12.7,,3075160,2002-04-03 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-10.1,,3075160,2002-04-04 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-8.4,,3075160,2002-04-05 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-7,,3075160,2002-04-06 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-8.1,,3075160,2002-04-07 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-6.4,,3075160,2002-04-08 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-7.9,,3075160,2002-04-09 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,3.5,,3075160,2002-04-10 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,5.2,,3075160,2002-04-11 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.1,,3075160,2002-04-12 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,1.7,,3075160,2002-04-13 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,0.2,,3075160,2002-04-14 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,1.8,,3075160,2002-04-15 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,2.3,,3075160,2002-04-16 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-0.3,,3075160,2002-04-17 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-0.8,,3075160,2002-04-18 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,2.2,,3075160,2002-04-19 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,7.1,,3075160,2002-04-20 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.4,,3075160,2002-04-21 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,0.3,,3075160,2002-04-22 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-5.6,,3075160,2002-04-23 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-3.8,,3075160,2002-04-24 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-1.1,,3075160,2002-04-25 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-1.1,,3075160,2002-04-26 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,1.4,,3075160,2002-04-27 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.3,,3075160,2002-04-28 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,4.9,,3075160,2002-04-29 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,4.5,,3075160,2002-04-30 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,10.4,,3075160,2002-05-01 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,5.5,,3075160,2002-05-02 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-4.6,,3075160,2002-05-03 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-3.2,,3075160,2002-05-04 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,-2.5,,3075160,2002-05-05 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,0.3,,3075160,2002-05-06 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,2.5,,3075160,2002-05-07 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,4.3,,3075160,2002-05-08 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.3,,3075160,2002-05-09 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.7,,3075160,2002-05-10 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,10.2,,3075160,2002-05-11 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,9.6,,3075160,2002-05-12 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,13.1,,3075160,2002-05-13 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,9.9,,3075160,2002-05-14 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,8.4,,3075160,2002-05-15 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,9.3,,3075160,2002-05-16 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,9.5,,3075160,2002-05-17 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,8,,3075160,2002-05-18 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,10.1,,3075160,2002-05-19 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,7.9,,3075160,2002-05-20 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.8,,3075160,2002-05-21 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,6.8,,3075160,2002-05-22 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,5.9,,3075160,2002-05-23 00:00:00
-118.29305583333333,55.6211125,,AB,PEORIA AGDM,8.1,,3075160,2002-05-24 00:00:00
