Longitude,Latitude,MAX_REL_HUMIDITY,Climate ID,Date,MEAN_TEMPERATURE,Name,Province,SPEED_MAX_GUST,Station ID
-116.81972472222222,54.3950025,,307K73D,1991-07-01 00:00:00,17.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2003-12-06 00:00:00,-11.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2005-11-30 00:00:00,-13.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2008-09-21 00:00:00,7.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1995-09-19 00:00:00,2.3,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2012-05-28 00:00:00,15.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1998-11-26 00:00:00,-0.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2007-02-08 00:00:00,-14.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1998-07-21 00:00:00,15.3,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2004-02-18 00:00:00,-0.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1996-06-23 00:00:00,9.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2003-11-05 00:00:00,-11.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2002-02-12 00:00:00,-2.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1992-12-08 00:00:00,-7.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1993-10-05 00:00:00,9.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1995-10-25 00:00:00,5.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2011-07-03 00:00:00,12.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2001-04-06 00:00:00,3.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2005-06-05 00:00:00,14.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2000-10-08 00:00:00,7.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2005-08-03 00:00:00,15.3,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2010-06-28 00:00:00,15.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1992-04-24 00:00:00,5.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1998-05-29 00:00:00,14.3,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2010-04-03 00:00:00,2.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2006-09-15 00:00:00,1.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1994-02-03 00:00:00,-12.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2003-05-07 00:00:00,0.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1991-08-09 00:00:00,19.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1999-03-12 00:00:00,-4.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1993-10-30 00:00:00,5.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2002-06-29 00:00:00,12.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2005-10-25 00:00:00,9.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2005-04-19 00:00:00,8.0,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2010-06-04 00:00:00,11.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1994-09-02 00:00:00,11.8,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,1996-10-22 00:00:00,3.5,FOX CREEK JUNCTION,AB,,3793
-116.81972472222222,54.3950025,,307K73D,2011-08-10 00:00:00,16.0,FOX CREEK JUNCTION,AB,,3793
