x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-107.01666666666667,52.36666666666667,,405DJDN,1999-03-05 00:00:00,-13,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1994-06-20 00:00:00,18,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1993-12-29 00:00:00,-10.5,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1993-12-06 00:00:00,-14,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2006-09-10 00:00:00,18.5,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1991-01-10 00:00:00,-25,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2004-06-13 00:00:00,9.5,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2001-02-19 00:00:00,-18.8,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1997-01-09 00:00:00,-31.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1990-09-13 00:00:00,12.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1998-08-23 00:00:00,20.8,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2001-08-17 00:00:00,19.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2004-05-14 00:00:00,5.8,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2001-03-30 00:00:00,0,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1992-01-19 00:00:00,-6.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1996-05-28 00:00:00,17.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2008-03-14 00:00:00,-7,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2001-06-16 00:00:00,14,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1994-08-03 00:00:00,20,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2008-02-08 00:00:00,-19.8,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1998-09-22 00:00:00,13,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1999-02-16 00:00:00,-6.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2002-03-03 00:00:00,-11.3,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2003-06-09 00:00:00,12.8,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1995-08-22 00:00:00,15.5,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1995-07-05 00:00:00,17,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,2005-11-24 00:00:00,-3.8,LANGHAM 2W,SK,
-107.01666666666667,52.36666666666667,,405DJDN,1995-06-12 00:00:00,19.3,LANGHAM 2W,SK,
