x,y,STATION_NAME,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DATE
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,13.4,,,1996-09-01 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,12.1,,,1996-09-02 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,8.9,,,1996-09-03 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,7.5,,,1996-09-04 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,8.1,,,1996-09-05 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,7.1,,,1996-09-06 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,7.5,,,1996-09-07 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,9.7,,,1996-09-08 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,8.3,,,1996-09-09 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,7.6,,,1996-09-10 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,10.5,,,1996-09-11 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,15.3,,,1996-09-12 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,15.8,,,1996-09-13 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,16.7,,,1996-09-14 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,13.2,,,1996-09-15 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,13.5,,,1996-09-16 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,13.3,,,1996-09-17 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,14,,,1996-09-18 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,10.9,,,1996-09-19 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,9.9,,,1996-09-20 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,8.7,,,1996-09-21 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,8.8,,,1996-09-22 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,7.8,,,1996-09-23 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,5.4,,,1996-09-24 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,5,,,1996-09-25 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,6.3,,,1996-09-26 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,9.6,,,1996-09-27 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,2.1,,,1996-09-28 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-1.7,,,1996-09-29 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-1.8,,,1996-09-30 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-0.1,,,1996-10-01 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,1.7,,,1996-10-02 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,6.1,,,1996-10-03 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,9.9,,,1996-10-04 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,4.6,,,1996-10-05 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,4.6,,,1996-10-06 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,10.3,,,1996-10-07 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,8.9,,,1996-10-08 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,6.9,,,1996-10-09 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,15.1,,,1996-10-10 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,10.7,,,1996-10-11 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,4.2,,,1996-10-12 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,2.3,,,1996-10-13 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,4,,,1996-10-14 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,3.6,,,1996-10-15 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,2.8,,,1996-10-16 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-1.7,,,1996-10-17 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-2.4,,,1996-10-18 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,0.6,,,1996-10-19 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,0,,,1996-10-20 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,0.7,,,1996-10-21 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-0.2,,,1996-10-22 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,1,,,1996-10-23 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,1,,,1996-10-24 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,1.6,,,1996-10-25 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-1.8,,,1996-10-26 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,0.2,,,1996-10-27 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-0.4,,,1996-10-28 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-10.1,,,1996-10-29 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-13,,,1996-10-30 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-11.5,,,1996-10-31 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-4.3,,,1996-11-01 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,2.8,,,1996-11-02 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-2.2,,,1996-11-03 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-3.5,,,1996-11-04 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-3.5,,,1996-11-05 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-3.8,,,1996-11-06 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-5.8,,,1996-11-07 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-12.2,,,1996-11-08 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-9.2,,,1996-11-09 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-9.4,,,1996-11-10 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-14.2,,,1996-11-11 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-20.1,,,1996-11-12 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17.7,,,1996-11-13 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-7.1,,,1996-11-14 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-12.3,,,1996-11-15 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17.9,,,1996-11-16 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-15.5,,,1996-11-17 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-15.7,,,1996-11-18 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17.1,,,1996-11-19 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-20.4,,,1996-11-20 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-22.6,,,1996-11-21 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-25.7,,,1996-11-22 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-20.6,,,1996-11-23 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-20.7,,,1996-11-24 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-21,,,1996-11-25 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-24.1,,,1996-11-26 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17,,,1996-11-27 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-10.7,,,1996-11-28 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-9.4,,,1996-11-29 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-16.7,,,1996-11-30 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-12.6,,,1997-02-01 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-16,,,1997-02-02 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-10.7,,,1997-02-03 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-13.6,,,1997-02-04 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-9.6,,,1997-02-05 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-16.6,,,1997-02-06 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-14.1,,,1997-02-07 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-6.8,,,1997-02-08 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-11.8,,,1997-02-09 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-7.9,,,1997-02-10 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-19.4,,,1997-02-11 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-24.4,,,1997-02-12 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-13,,,1997-02-13 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-20.3,,,1997-02-14 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17.3,,,1997-02-15 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-11.5,,,1997-02-16 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-11.3,,,1997-02-17 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17.2,,,1997-02-18 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-12.3,,,1997-02-19 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-10.4,,,1997-02-20 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-12.1,,,1997-02-21 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-21.5,,,1997-02-22 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-15.5,,,1997-02-23 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,0.4,,,1997-02-24 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-7,,,1997-02-25 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-17.3,,,1997-02-26 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-16.1,,,1997-02-27 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-9.9,,,1997-02-28 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-11.6,,,1997-03-01 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-19.8,,,1997-03-02 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-25.7,,,1997-03-03 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-20,,,1997-03-04 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-18.9,,,1997-03-05 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-22.4,,,1997-03-06 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-10.4,,,1997-03-07 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-7.9,,,1997-03-08 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-9,,,1997-03-09 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-11.7,,,1997-03-10 00:00:00
-108.51666666666667,54.13333333333333,MEADOW LAKE,SK,406N0NM,-15.4,,,1997-03-11 00:00:00
