x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-101.20280555555556,49.926722222222224,,-0.8,2005-11-18 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,10.3,2012-04-30 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,11.3,2017-05-29 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-16.8,2011-03-08 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-5.5,2002-02-06 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,9,2020-09-14 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-4.5,1992-03-25 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-26.5,1994-01-10 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,1.5,1991-09-18 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,20,2019-09-16 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,,2007-06-16 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,17.8,2006-07-10 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-18.8,2016-12-13 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-5.3,1990-11-12 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,14.3,1997-05-07 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,13.5,1989-06-23 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,23,1996-06-10 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,0.3,1997-10-30 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,,1987-08-17 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-19.8,1993-02-23 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-11,1995-02-18 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,11.3,2000-06-09 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-3.8,2001-01-05 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-23.5,2008-02-13 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,13.8,2010-06-12 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,24,2003-08-16 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-1.5,2000-11-24 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,7.8,2012-10-14 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,5.3,2022-10-30 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,0.3,1990-11-19 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,9.3,1991-04-03 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,10.3,1994-10-14 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,16.5,2010-07-06 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,4.3,2012-04-20 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,12.8,2022-05-08 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,,1987-09-28 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-17.5,1996-01-02 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,18,2016-06-18 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-15.3,1995-12-22 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,18.8,1990-07-24 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,11,2020-04-26 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,16.8,2015-06-22 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,12.3,1990-09-09 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-8.3,1997-11-15 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,4,2012-10-18 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,14.8,2012-09-27 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,18.5,2016-07-05 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-13,2000-01-25 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-14.8,2019-03-04 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,19.5,2018-07-09 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-0.3,2019-11-17 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-1.5,2009-01-17 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,10.5,1992-10-24 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,23.8,2013-08-24 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,,1991-07-07 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,19.8,2002-05-30 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,12.5,1996-06-24 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,7.5,2019-05-26 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-21.3,2003-02-09 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,1.3,1990-03-01 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-8,2003-11-16 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,19.3,2005-06-21 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,20.5,2013-06-28 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,24.3,2006-07-25 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,10.5,2022-05-15 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-22.8,2008-02-05 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,3.5,2003-05-10 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-5.5,1989-03-07 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,14.5,2010-06-13 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,0,2005-05-02 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,11.5,2017-05-13 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-14.5,1996-03-08 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,,1988-02-29 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-27.3,1994-01-05 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-5.5,2009-02-09 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-16,2014-03-22 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-18.5,2022-02-05 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-2,2011-11-09 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,14.3,2020-10-06 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,1.5,1991-03-30 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,12.5,2014-09-08 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,7.8,2015-10-04 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,19.8,2005-07-15 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-8.5,1996-04-06 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-6,2018-11-29 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-5.8,2012-02-06 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,12.8,2006-10-06 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,14,1990-07-21 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-8.5,1992-10-18 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,5.3,1998-10-19 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
-101.20280555555556,49.926722222222224,,-3.8,2021-01-07 00:00:00,5010QFQ,ELKHORN 2 EAST,MB,
