x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-101.4,51.266666666666666,,,2001-05-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1995-04-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2003-09-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-05-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2017-08-28 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2005-08-08 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2001-04-06 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2009-05-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-10-21 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2002-03-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2006-02-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2005-03-23 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2009-01-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2008-05-05 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-10-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-04-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2009-04-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-01-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2017-08-17 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2006-11-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2018-01-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2022-06-10 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2010-05-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2010-03-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-11-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1992-11-22 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2006-07-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-04-23 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2015-06-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2012-10-27 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2011-07-15 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2012-03-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2015-02-15 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1997-10-28 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1992-07-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1992-12-19 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-07-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2017-08-26 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2008-07-14 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-11-15 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1995-08-06 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-03-11 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2000-09-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2006-09-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2001-06-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2002-03-02 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2010-08-27 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2015-10-20 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2017-04-02 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-02-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1995-05-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-04-28 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2021-10-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2012-08-30 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1995-12-10 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2005-02-27 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1999-06-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-01-24 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2021-02-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2009-11-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2000-02-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2010-07-15 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2005-06-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2004-07-30 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1999-04-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2001-05-10 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-12-30 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2021-08-02 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-11-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-12-18 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1998-05-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2015-02-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2020-10-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2007-05-11 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2002-07-17 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1994-10-28 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2022-03-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2001-01-07 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1995-03-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2006-05-08 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1998-03-20 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2021-09-22 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2021-06-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2015-08-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1994-07-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1999-08-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1994-12-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-10-31 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2007-06-14 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2020-09-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2003-12-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-09-07 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2019-07-06 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2009-04-21 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-01-17 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2008-11-15 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1994-07-07 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1994-11-27 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2004-01-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1997-10-11 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2007-11-26 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2000-03-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1998-12-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2018-05-08 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2005-10-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2003-02-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2004-03-08 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2014-02-19 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2011-11-06 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-10-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2005-06-12 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2010-12-31 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2011-10-10 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2001-04-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2017-05-17 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-09-03 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2003-02-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-09-05 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2010-12-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2004-12-10 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-08-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2011-11-21 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1991-08-25 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2014-12-21 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2022-02-09 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-05-17 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1995-03-24 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1992-08-14 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-09-12 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-09-13 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1997-04-14 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2019-11-21 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2020-07-24 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1996-05-07 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2008-06-12 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-04-08 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1991-04-20 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2013-02-19 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2003-09-29 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2004-06-19 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2007-05-06 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2020-03-31 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2016-06-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1992-08-06 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2012-10-18 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2007-02-07 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-07-16 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2009-05-10 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2022-07-31 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2000-02-14 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2022-01-04 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,1993-07-30 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2008-01-01 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
-101.4,51.266666666666666,,,2007-05-07 00:00:00,501B4G2,ROBLIN FRIESEN 3 NORTHWEST,MB,
