x,y,STATION_NAME,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DATE
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3.3,,,1996-10-01 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,4,,,1996-10-02 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3,,,1996-10-03 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,10.4,,,1996-10-04 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,16.3,,,1996-10-05 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3.7,,,1996-10-06 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,2.9,,,1996-10-07 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,11.9,,,1996-10-08 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,4.4,,,1996-10-09 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,8.3,,,1996-10-10 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,11.3,,,1996-10-11 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,11.4,,,1996-10-12 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,6.2,,,1996-10-13 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,8.7,,,1996-10-14 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,13.3,,,1996-10-15 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,6.1,,,1996-10-16 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,2,,,1996-10-17 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3.3,,,1996-10-18 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,7.8,,,1996-10-19 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,8.4,,,1996-10-20 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,6.9,,,1996-10-21 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3.4,,,1996-10-22 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,2.9,,,1996-10-23 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,2.6,,,1996-10-24 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3.9,,,1996-10-25 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,5.2,,,1996-10-26 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,4.1,,,1996-10-27 00:00:00
-97.24944444444445,49.916666666666664,WINNIPEG A CS,MB,502S001,3.9,,,1996-10-28 00:00:00
