x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-97.05,50.63333333333333,,-3,1992-12-01 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,57
-97.05,50.63333333333333,,-15.3,1992-12-03 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,-29.2,1993-01-01 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,-21.5,1993-01-28 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,
-97.05,50.63333333333333,,-0.8,1993-03-07 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,-2.1,1993-04-02 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,2.8,1993-04-04 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,4.3,1993-04-05 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,32
-97.05,50.63333333333333,,4.7,1993-04-06 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,4.4,1993-04-07 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,
-97.05,50.63333333333333,,0.5,1993-04-10 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,3.5,1993-04-11 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,4.1,1993-04-12 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,5.2,1993-04-13 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,41
-97.05,50.63333333333333,,2.6,1993-04-15 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,4,1993-04-16 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,41
-97.05,50.63333333333333,,1.8,1993-04-17 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,2.4,1993-04-18 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,39
-97.05,50.63333333333333,,1.9,1993-04-19 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,2.5,1993-04-20 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,35
-97.05,50.63333333333333,,7.3,1993-04-21 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,35
-97.05,50.63333333333333,,9.1,1993-04-23 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,0.5,1993-04-24 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,56
-97.05,50.63333333333333,,-3.9,1993-04-25 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,7.2,1993-04-26 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,57
-97.05,50.63333333333333,,1.3,1993-04-29 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,11.9,1993-05-03 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,15.9,1993-05-07 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,56
-97.05,50.63333333333333,,10.5,1993-05-08 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,15.3,1993-05-10 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,48
-97.05,50.63333333333333,,15.9,1993-05-11 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,37
-97.05,50.63333333333333,,15.9,1993-05-13 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,48
-97.05,50.63333333333333,,4.9,1993-05-14 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,2.7,1993-05-15 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,5.1,1993-05-17 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,
-97.05,50.63333333333333,,3.7,1993-05-18 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,32
-97.05,50.63333333333333,,6.1,1993-05-19 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,35
-97.05,50.63333333333333,,6.1,1993-05-20 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,12,1993-05-23 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,50
-97.05,50.63333333333333,,9.8,1993-05-24 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,50
-97.05,50.63333333333333,,5.4,1993-05-25 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,50
-97.05,50.63333333333333,,4.7,1993-05-26 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,7.8,1993-05-31 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,7.3,1993-06-01 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,8.6,1993-06-02 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,
-97.05,50.63333333333333,,10.9,1993-06-06 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,39
-97.05,50.63333333333333,,10.6,1993-06-07 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,18.8,1993-06-10 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,23.5,1993-06-12 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,18.2,1993-06-21 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,20.5,1993-06-23 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,6.2,1993-06-27 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,17,1993-07-08 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,20.4,1993-07-22 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,10.1,1993-07-23 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,16.4,1993-07-28 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
-97.05,50.63333333333333,,15.3,1993-08-01 00:00:00,50310D0,GIMLI INDUSTRIAL PARK,MB,0
