x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-06-17 00:00:00,24,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-04-29 00:00:00,5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-06-05 00:00:00,11,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-05-04 00:00:00,12.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-02-09 00:00:00,-17.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-05-25 00:00:00,8.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2009-08-15 00:00:00,20,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2006-02-24 00:00:00,-17.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-10-28 00:00:00,3.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-12-14 00:00:00,-4.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-04-23 00:00:00,7,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1997-04-06 00:00:00,-9,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-01-27 00:00:00,-21,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-08-30 00:00:00,22.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-03-24 00:00:00,1.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-05-29 00:00:00,16,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1994-04-26 00:00:00,2,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1995-02-03 00:00:00,,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-07-17 00:00:00,22.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-11-04 00:00:00,6,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1990-03-18 00:00:00,-10.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-01-28 00:00:00,-6.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-05-02 00:00:00,9.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-12-30 00:00:00,-21,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-05-01 00:00:00,5.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1987-11-17 00:00:00,-3.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2022-01-15 00:00:00,-17.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2015-10-24 00:00:00,8.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-11-24 00:00:00,-0.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-02-16 00:00:00,-6.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-07-13 00:00:00,19.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-04-08 00:00:00,-2,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-06-09 00:00:00,9.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2021-05-24 00:00:00,15.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-12-19 00:00:00,-6,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-04-17 00:00:00,-6,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-01-16 00:00:00,-12.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-05-16 00:00:00,17.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1989-03-23 00:00:00,-6.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2013-01-15 00:00:00,-18.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-08-05 00:00:00,22.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-02-28 00:00:00,-0.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-01-30 00:00:00,-22,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1987-12-12 00:00:00,-3.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-08-04 00:00:00,15,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-02-02 00:00:00,0.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2007-03-29 00:00:00,2,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-06-02 00:00:00,19.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1988-06-28 00:00:00,19.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-06-13 00:00:00,16,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2003-03-08 00:00:00,-25.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2011-03-13 00:00:00,-9.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-11-03 00:00:00,5.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-09-24 00:00:00,4.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-04-17 00:00:00,1,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-11-26 00:00:00,1.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2012-12-13 00:00:00,-11.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-04-05 00:00:00,2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-07-08 00:00:00,21.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2016-04-12 00:00:00,-4.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2006-12-02 00:00:00,-12.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-11-02 00:00:00,2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-01-25 00:00:00,-15.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-12-02 00:00:00,-6,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-03-17 00:00:00,-3.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1991-08-22 00:00:00,15.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-04-17 00:00:00,10.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-04-04 00:00:00,1.5,,,5031320
