x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-97.85,53.95,,506B047,1992-12-01 00:00:00,-9.9,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1992-12-03 00:00:00,-14.8,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1992-12-05 00:00:00,-6.5,NORWAY HOUSE A,MB,33
-97.85,53.95,,506B047,1992-12-14 00:00:00,-11.5,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1992-12-15 00:00:00,-9.2,NORWAY HOUSE A,MB,39
-97.85,53.95,,506B047,1992-12-19 00:00:00,-24,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1992-12-20 00:00:00,-28.8,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1992-12-21 00:00:00,-28.8,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1992-12-29 00:00:00,-30.2,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1993-01-03 00:00:00,-21.9,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1993-01-04 00:00:00,-22.2,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1993-01-09 00:00:00,-29.1,NORWAY HOUSE A,MB,43
-97.85,53.95,,506B047,1993-01-10 00:00:00,-23.6,NORWAY HOUSE A,MB,37
-97.85,53.95,,506B047,1993-01-11 00:00:00,-20.2,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1993-01-15 00:00:00,-13.7,NORWAY HOUSE A,MB,52
-97.85,53.95,,506B047,1993-01-16 00:00:00,-14.4,NORWAY HOUSE A,MB,48
-97.85,53.95,,506B047,1993-01-17 00:00:00,-23.9,NORWAY HOUSE A,MB,0
-97.85,53.95,,506B047,1993-01-19 00:00:00,-10.5,NORWAY HOUSE A,MB,59
-97.85,53.95,,506B047,1993-01-20 00:00:00,-4.7,NORWAY HOUSE A,MB,65
