x,y,MAX_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,SPEED_MAX_GUST,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE
-97.8,54,,1990-02-10 00:00:00,NORWAY HOUSE FORESTRY,,-22,506B0M7,MB
-97.8,54,,1999-05-27 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1988-11-19 00:00:00,NORWAY HOUSE FORESTRY,,-8.5,506B0M7,MB
-97.8,54,,1997-06-12 00:00:00,NORWAY HOUSE FORESTRY,,13.5,506B0M7,MB
-97.8,54,,1992-03-26 00:00:00,NORWAY HOUSE FORESTRY,,-13,506B0M7,MB
-97.8,54,,1994-10-14 00:00:00,NORWAY HOUSE FORESTRY,,5.5,506B0M7,MB
-97.8,54,,1997-04-09 00:00:00,NORWAY HOUSE FORESTRY,,-12,506B0M7,MB
-97.8,54,,2000-05-17 00:00:00,NORWAY HOUSE FORESTRY,,4,506B0M7,MB
-97.8,54,,1992-04-06 00:00:00,NORWAY HOUSE FORESTRY,,-2.5,506B0M7,MB
-97.8,54,,1999-03-31 00:00:00,NORWAY HOUSE FORESTRY,,-1.5,506B0M7,MB
-97.8,54,,1988-04-07 00:00:00,NORWAY HOUSE FORESTRY,,-6,506B0M7,MB
-97.8,54,,1995-06-11 00:00:00,NORWAY HOUSE FORESTRY,,14.5,506B0M7,MB
-97.8,54,,1987-10-27 00:00:00,NORWAY HOUSE FORESTRY,,-4.5,506B0M7,MB
-97.8,54,,1998-03-23 00:00:00,NORWAY HOUSE FORESTRY,,-6.5,506B0M7,MB
-97.8,54,,1996-06-25 00:00:00,NORWAY HOUSE FORESTRY,,14.5,506B0M7,MB
-97.8,54,,1993-03-17 00:00:00,NORWAY HOUSE FORESTRY,,-14.5,506B0M7,MB
-97.8,54,,1987-06-23 00:00:00,NORWAY HOUSE FORESTRY,,17.5,506B0M7,MB
-97.8,54,,1988-07-02 00:00:00,NORWAY HOUSE FORESTRY,,,506B0M7,MB
-97.8,54,,1987-12-28 00:00:00,NORWAY HOUSE FORESTRY,,-8,506B0M7,MB
-97.8,54,,1996-02-26 00:00:00,NORWAY HOUSE FORESTRY,,-23,506B0M7,MB
-97.8,54,,1988-05-01 00:00:00,NORWAY HOUSE FORESTRY,,6,506B0M7,MB
-97.8,54,,1988-10-01 00:00:00,NORWAY HOUSE FORESTRY,,6.5,506B0M7,MB
-97.8,54,,1987-10-05 00:00:00,NORWAY HOUSE FORESTRY,,3.5,506B0M7,MB
-97.8,54,,1992-03-13 00:00:00,NORWAY HOUSE FORESTRY,,-9,506B0M7,MB
-97.8,54,,1993-08-15 00:00:00,NORWAY HOUSE FORESTRY,,18.5,506B0M7,MB
-97.8,54,,1993-02-15 00:00:00,NORWAY HOUSE FORESTRY,,-26,506B0M7,MB
-97.8,54,,1997-03-27 00:00:00,NORWAY HOUSE FORESTRY,,-1.5,506B0M7,MB
-97.8,54,,1997-07-13 00:00:00,NORWAY HOUSE FORESTRY,,23,506B0M7,MB
-97.8,54,,2000-06-19 00:00:00,NORWAY HOUSE FORESTRY,,16.5,506B0M7,MB
-97.8,54,,1996-08-14 00:00:00,NORWAY HOUSE FORESTRY,,19,506B0M7,MB
-97.8,54,,1995-05-15 00:00:00,NORWAY HOUSE FORESTRY,,2.5,506B0M7,MB
-97.8,54,,1991-02-28 00:00:00,NORWAY HOUSE FORESTRY,,-19.5,506B0M7,MB
-97.8,54,,1994-11-02 00:00:00,NORWAY HOUSE FORESTRY,,-0.5,506B0M7,MB
-97.8,54,,1996-01-15 00:00:00,NORWAY HOUSE FORESTRY,,-29.5,506B0M7,MB
-97.8,54,,1994-02-06 00:00:00,NORWAY HOUSE FORESTRY,,-31.5,506B0M7,MB
-97.8,54,,1990-07-03 00:00:00,NORWAY HOUSE FORESTRY,,12.5,506B0M7,MB
-97.8,54,,1994-08-22 00:00:00,NORWAY HOUSE FORESTRY,,19,506B0M7,MB
-97.8,54,,1999-07-22 00:00:00,NORWAY HOUSE FORESTRY,,23.5,506B0M7,MB
-97.8,54,,1997-06-25 00:00:00,NORWAY HOUSE FORESTRY,,15,506B0M7,MB
-97.8,54,,1995-04-22 00:00:00,NORWAY HOUSE FORESTRY,,0.5,506B0M7,MB
-97.8,54,,1989-02-09 00:00:00,NORWAY HOUSE FORESTRY,,-13,506B0M7,MB
-97.8,54,,1992-04-29 00:00:00,NORWAY HOUSE FORESTRY,,3.5,506B0M7,MB
-97.8,54,,1998-01-04 00:00:00,NORWAY HOUSE FORESTRY,,-26,506B0M7,MB
-97.8,54,,1990-07-23 00:00:00,NORWAY HOUSE FORESTRY,,22,506B0M7,MB
-97.8,54,,1992-03-06 00:00:00,NORWAY HOUSE FORESTRY,,-1,506B0M7,MB
-97.8,54,,1991-03-08 00:00:00,NORWAY HOUSE FORESTRY,,-20.5,506B0M7,MB
-97.8,54,,1997-11-24 00:00:00,NORWAY HOUSE FORESTRY,,-12,506B0M7,MB
-97.8,54,,1998-10-26 00:00:00,NORWAY HOUSE FORESTRY,,5,506B0M7,MB
-97.8,54,,1995-10-29 00:00:00,NORWAY HOUSE FORESTRY,,-3.5,506B0M7,MB
-97.8,54,,1997-11-08 00:00:00,NORWAY HOUSE FORESTRY,,-6,506B0M7,MB
-97.8,54,,1995-04-23 00:00:00,NORWAY HOUSE FORESTRY,,1,506B0M7,MB
-97.8,54,,1999-10-31 00:00:00,NORWAY HOUSE FORESTRY,,5,506B0M7,MB
-97.8,54,,1997-07-08 00:00:00,NORWAY HOUSE FORESTRY,,17.5,506B0M7,MB
-97.8,54,,1995-09-25 00:00:00,NORWAY HOUSE FORESTRY,,10,506B0M7,MB
-97.8,54,,1989-01-23 00:00:00,NORWAY HOUSE FORESTRY,,-23.5,506B0M7,MB
-97.8,54,,1993-02-26 00:00:00,NORWAY HOUSE FORESTRY,,-9.5,506B0M7,MB
-97.8,54,,1991-03-03 00:00:00,NORWAY HOUSE FORESTRY,,-19.5,506B0M7,MB
-97.8,54,,1989-12-16 00:00:00,NORWAY HOUSE FORESTRY,,-24,506B0M7,MB
-97.8,54,,1992-12-16 00:00:00,NORWAY HOUSE FORESTRY,,-21,506B0M7,MB
-97.8,54,,1992-02-06 00:00:00,NORWAY HOUSE FORESTRY,,-12,506B0M7,MB
-97.8,54,,1994-06-09 00:00:00,NORWAY HOUSE FORESTRY,,18.5,506B0M7,MB
-97.8,54,,1994-02-08 00:00:00,NORWAY HOUSE FORESTRY,,-29,506B0M7,MB
-97.8,54,,1987-04-22 00:00:00,NORWAY HOUSE FORESTRY,,6,506B0M7,MB
-97.8,54,,1994-12-05 00:00:00,NORWAY HOUSE FORESTRY,,-17.5,506B0M7,MB
-97.8,54,,2000-03-24 00:00:00,NORWAY HOUSE FORESTRY,,5.5,506B0M7,MB
-97.8,54,,1999-02-20 00:00:00,NORWAY HOUSE FORESTRY,,-9.5,506B0M7,MB
-97.8,54,,1994-03-22 00:00:00,NORWAY HOUSE FORESTRY,,-12.5,506B0M7,MB
-97.8,54,,1988-08-31 00:00:00,NORWAY HOUSE FORESTRY,,20,506B0M7,MB
-97.8,54,,1999-09-14 00:00:00,NORWAY HOUSE FORESTRY,,10.5,506B0M7,MB
-97.8,54,,1991-08-01 00:00:00,NORWAY HOUSE FORESTRY,,14,506B0M7,MB
-97.8,54,,1989-12-07 00:00:00,NORWAY HOUSE FORESTRY,,-29,506B0M7,MB
-97.8,54,,1987-10-18 00:00:00,NORWAY HOUSE FORESTRY,,3.3,506B0M7,MB
-97.8,54,,1995-10-15 00:00:00,NORWAY HOUSE FORESTRY,,3.5,506B0M7,MB
-97.8,54,,1990-09-13 00:00:00,NORWAY HOUSE FORESTRY,,6.5,506B0M7,MB
-97.8,54,,1998-11-08 00:00:00,NORWAY HOUSE FORESTRY,,-1.5,506B0M7,MB
-97.8,54,,1993-07-15 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1993-06-24 00:00:00,NORWAY HOUSE FORESTRY,,12.5,506B0M7,MB
-97.8,54,,1991-05-10 00:00:00,NORWAY HOUSE FORESTRY,,13.5,506B0M7,MB
-97.8,54,,1995-11-21 00:00:00,NORWAY HOUSE FORESTRY,,-15.5,506B0M7,MB
-97.8,54,,1990-10-16 00:00:00,NORWAY HOUSE FORESTRY,,-0.5,506B0M7,MB
-97.8,54,,1998-07-27 00:00:00,NORWAY HOUSE FORESTRY,,16.5,506B0M7,MB
-97.8,54,,1988-12-03 00:00:00,NORWAY HOUSE FORESTRY,,-11,506B0M7,MB
-97.8,54,,1999-07-08 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1998-09-28 00:00:00,NORWAY HOUSE FORESTRY,,8,506B0M7,MB
-97.8,54,,1993-10-04 00:00:00,NORWAY HOUSE FORESTRY,,4.5,506B0M7,MB
-97.8,54,,1994-09-02 00:00:00,NORWAY HOUSE FORESTRY,,15.5,506B0M7,MB
-97.8,54,,1999-09-22 00:00:00,NORWAY HOUSE FORESTRY,,11,506B0M7,MB
-97.8,54,,1999-04-26 00:00:00,NORWAY HOUSE FORESTRY,,11.5,506B0M7,MB
-97.8,54,,1999-08-07 00:00:00,NORWAY HOUSE FORESTRY,,15,506B0M7,MB
-97.8,54,,1988-12-14 00:00:00,NORWAY HOUSE FORESTRY,,-27.5,506B0M7,MB
-97.8,54,,1989-12-15 00:00:00,NORWAY HOUSE FORESTRY,,-23,506B0M7,MB
-97.8,54,,1988-06-15 00:00:00,NORWAY HOUSE FORESTRY,,15.5,506B0M7,MB
-97.8,54,,1993-03-19 00:00:00,NORWAY HOUSE FORESTRY,,-15,506B0M7,MB
-97.8,54,,1999-03-04 00:00:00,NORWAY HOUSE FORESTRY,,-21.5,506B0M7,MB
-97.8,54,,1997-03-18 00:00:00,NORWAY HOUSE FORESTRY,,-12.5,506B0M7,MB
-97.8,54,,1990-09-24 00:00:00,NORWAY HOUSE FORESTRY,,14.5,506B0M7,MB
-97.8,54,,1989-10-23 00:00:00,NORWAY HOUSE FORESTRY,,6.5,506B0M7,MB
-97.8,54,,1995-01-13 00:00:00,NORWAY HOUSE FORESTRY,,-14.5,506B0M7,MB
-97.8,54,,1994-05-24 00:00:00,NORWAY HOUSE FORESTRY,,11.5,506B0M7,MB
-97.8,54,,1995-03-31 00:00:00,NORWAY HOUSE FORESTRY,,-2.5,506B0M7,MB
-97.8,54,,1989-03-14 00:00:00,NORWAY HOUSE FORESTRY,,-22,506B0M7,MB
-97.8,54,,1997-08-06 00:00:00,NORWAY HOUSE FORESTRY,,25,506B0M7,MB
-97.8,54,,1992-03-09 00:00:00,NORWAY HOUSE FORESTRY,,-20,506B0M7,MB
-97.8,54,,1990-06-25 00:00:00,NORWAY HOUSE FORESTRY,,16.5,506B0M7,MB
-97.8,54,,1993-05-28 00:00:00,NORWAY HOUSE FORESTRY,,8,506B0M7,MB
-97.8,54,,1998-07-08 00:00:00,NORWAY HOUSE FORESTRY,,22,506B0M7,MB
-97.8,54,,2000-07-27 00:00:00,NORWAY HOUSE FORESTRY,,23,506B0M7,MB
-97.8,54,,1990-11-19 00:00:00,NORWAY HOUSE FORESTRY,,-3.5,506B0M7,MB
-97.8,54,,1998-03-06 00:00:00,NORWAY HOUSE FORESTRY,,-13,506B0M7,MB
-97.8,54,,1987-08-24 00:00:00,NORWAY HOUSE FORESTRY,,12.5,506B0M7,MB
-97.8,54,,1992-05-20 00:00:00,NORWAY HOUSE FORESTRY,,11,506B0M7,MB
-97.8,54,,1997-07-21 00:00:00,NORWAY HOUSE FORESTRY,,16.5,506B0M7,MB
-97.8,54,,2000-05-12 00:00:00,NORWAY HOUSE FORESTRY,,1.5,506B0M7,MB
-97.8,54,,1996-04-01 00:00:00,NORWAY HOUSE FORESTRY,,-17,506B0M7,MB
-97.8,54,,1995-06-10 00:00:00,NORWAY HOUSE FORESTRY,,14.5,506B0M7,MB
-97.8,54,,1990-08-17 00:00:00,NORWAY HOUSE FORESTRY,,13,506B0M7,MB
-97.8,54,,1995-06-06 00:00:00,NORWAY HOUSE FORESTRY,,11,506B0M7,MB
-97.8,54,,1998-12-07 00:00:00,NORWAY HOUSE FORESTRY,,-9.5,506B0M7,MB
-97.8,54,,1994-03-09 00:00:00,NORWAY HOUSE FORESTRY,,-15,506B0M7,MB
-97.8,54,,1992-09-12 00:00:00,NORWAY HOUSE FORESTRY,,9.5,506B0M7,MB
-97.8,54,,1988-05-26 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1998-03-22 00:00:00,NORWAY HOUSE FORESTRY,,-6,506B0M7,MB
-97.8,54,,1997-06-14 00:00:00,NORWAY HOUSE FORESTRY,,12.5,506B0M7,MB
-97.8,54,,1996-08-19 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1988-03-11 00:00:00,NORWAY HOUSE FORESTRY,,-17,506B0M7,MB
-97.8,54,,1995-05-18 00:00:00,NORWAY HOUSE FORESTRY,,11,506B0M7,MB
-97.8,54,,1998-12-09 00:00:00,NORWAY HOUSE FORESTRY,,-15,506B0M7,MB
-97.8,54,,1987-05-13 00:00:00,NORWAY HOUSE FORESTRY,,4,506B0M7,MB
-97.8,54,,1989-03-12 00:00:00,NORWAY HOUSE FORESTRY,,-16,506B0M7,MB
-97.8,54,,1989-01-01 00:00:00,NORWAY HOUSE FORESTRY,,-30,506B0M7,MB
-97.8,54,,1995-06-02 00:00:00,NORWAY HOUSE FORESTRY,,17.5,506B0M7,MB
-97.8,54,,2000-05-31 00:00:00,NORWAY HOUSE FORESTRY,,8.5,506B0M7,MB
-97.8,54,,1995-09-10 00:00:00,NORWAY HOUSE FORESTRY,,15,506B0M7,MB
-97.8,54,,1990-06-03 00:00:00,NORWAY HOUSE FORESTRY,,8.5,506B0M7,MB
-97.8,54,,1989-06-18 00:00:00,NORWAY HOUSE FORESTRY,,15.5,506B0M7,MB
-97.8,54,,1999-10-29 00:00:00,NORWAY HOUSE FORESTRY,,4.5,506B0M7,MB
-97.8,54,,1992-01-01 00:00:00,NORWAY HOUSE FORESTRY,,-4.5,506B0M7,MB
-97.8,54,,1987-06-10 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1987-06-22 00:00:00,NORWAY HOUSE FORESTRY,,23.5,506B0M7,MB
-97.8,54,,1992-12-03 00:00:00,NORWAY HOUSE FORESTRY,,-11,506B0M7,MB
-97.8,54,,1988-01-22 00:00:00,NORWAY HOUSE FORESTRY,,-26.5,506B0M7,MB
-97.8,54,,1998-11-10 00:00:00,NORWAY HOUSE FORESTRY,,-2,506B0M7,MB
-97.8,54,,1989-11-11 00:00:00,NORWAY HOUSE FORESTRY,,-10.5,506B0M7,MB
-97.8,54,,1993-04-07 00:00:00,NORWAY HOUSE FORESTRY,,4,506B0M7,MB
-97.8,54,,1994-08-08 00:00:00,NORWAY HOUSE FORESTRY,,13,506B0M7,MB
-97.8,54,,1997-02-21 00:00:00,NORWAY HOUSE FORESTRY,,-23,506B0M7,MB
-97.8,54,,1996-07-10 00:00:00,NORWAY HOUSE FORESTRY,,20.5,506B0M7,MB
-97.8,54,,1990-05-10 00:00:00,NORWAY HOUSE FORESTRY,,6,506B0M7,MB
-97.8,54,,1988-04-12 00:00:00,NORWAY HOUSE FORESTRY,,0.3,506B0M7,MB
-97.8,54,,1998-04-19 00:00:00,NORWAY HOUSE FORESTRY,,1.5,506B0M7,MB
-97.8,54,,1989-01-17 00:00:00,NORWAY HOUSE FORESTRY,,-23,506B0M7,MB
-97.8,54,,2000-02-11 00:00:00,NORWAY HOUSE FORESTRY,,-18,506B0M7,MB
-97.8,54,,1992-07-16 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1992-01-12 00:00:00,NORWAY HOUSE FORESTRY,,-13.5,506B0M7,MB
-97.8,54,,1998-06-06 00:00:00,NORWAY HOUSE FORESTRY,,12,506B0M7,MB
-97.8,54,,1989-08-07 00:00:00,NORWAY HOUSE FORESTRY,,21,506B0M7,MB
-97.8,54,,1994-11-15 00:00:00,NORWAY HOUSE FORESTRY,,-2.5,506B0M7,MB
-97.8,54,,1998-04-14 00:00:00,NORWAY HOUSE FORESTRY,,-3.5,506B0M7,MB
-97.8,54,,1999-02-14 00:00:00,NORWAY HOUSE FORESTRY,,-11,506B0M7,MB
-97.8,54,,1999-10-11 00:00:00,NORWAY HOUSE FORESTRY,,4.5,506B0M7,MB
-97.8,54,,1991-09-30 00:00:00,NORWAY HOUSE FORESTRY,,7,506B0M7,MB
-97.8,54,,1994-10-16 00:00:00,NORWAY HOUSE FORESTRY,,12.5,506B0M7,MB
-97.8,54,,1987-07-03 00:00:00,NORWAY HOUSE FORESTRY,,20.5,506B0M7,MB
-97.8,54,,1987-11-14 00:00:00,NORWAY HOUSE FORESTRY,,-3.3,506B0M7,MB
-97.8,54,,1996-04-13 00:00:00,NORWAY HOUSE FORESTRY,,-2,506B0M7,MB
-97.8,54,,1995-11-03 00:00:00,NORWAY HOUSE FORESTRY,,-10.5,506B0M7,MB
-97.8,54,,1994-03-03 00:00:00,NORWAY HOUSE FORESTRY,,-3,506B0M7,MB
-97.8,54,,1997-12-19 00:00:00,NORWAY HOUSE FORESTRY,,-15,506B0M7,MB
-97.8,54,,1996-05-31 00:00:00,NORWAY HOUSE FORESTRY,,14.5,506B0M7,MB
-97.8,54,,1988-01-25 00:00:00,NORWAY HOUSE FORESTRY,,-29.5,506B0M7,MB
-97.8,54,,1988-06-24 00:00:00,NORWAY HOUSE FORESTRY,,13,506B0M7,MB
-97.8,54,,1993-07-16 00:00:00,NORWAY HOUSE FORESTRY,,14.5,506B0M7,MB
-97.8,54,,1999-05-04 00:00:00,NORWAY HOUSE FORESTRY,,15,506B0M7,MB
-97.8,54,,1999-06-30 00:00:00,NORWAY HOUSE FORESTRY,,16,506B0M7,MB
-97.8,54,,1988-10-04 00:00:00,NORWAY HOUSE FORESTRY,,3.5,506B0M7,MB
-97.8,54,,1988-03-01 00:00:00,NORWAY HOUSE FORESTRY,,-17.5,506B0M7,MB
-97.8,54,,1989-03-10 00:00:00,NORWAY HOUSE FORESTRY,,-7,506B0M7,MB
-97.8,54,,1995-01-16 00:00:00,NORWAY HOUSE FORESTRY,,-13.5,506B0M7,MB
-97.8,54,,1988-08-17 00:00:00,NORWAY HOUSE FORESTRY,,18,506B0M7,MB
-97.8,54,,2000-05-11 00:00:00,NORWAY HOUSE FORESTRY,,3,506B0M7,MB
-97.8,54,,1996-09-28 00:00:00,NORWAY HOUSE FORESTRY,,6,506B0M7,MB
-97.8,54,,1997-03-17 00:00:00,NORWAY HOUSE FORESTRY,,-15,506B0M7,MB
-97.8,54,,1988-07-21 00:00:00,NORWAY HOUSE FORESTRY,,21.5,506B0M7,MB
-97.8,54,,1994-04-29 00:00:00,NORWAY HOUSE FORESTRY,,2,506B0M7,MB
-97.8,54,,1999-12-21 00:00:00,NORWAY HOUSE FORESTRY,,-26,506B0M7,MB
-97.8,54,,1993-05-05 00:00:00,NORWAY HOUSE FORESTRY,,10.5,506B0M7,MB
-97.8,54,,1988-11-07 00:00:00,NORWAY HOUSE FORESTRY,,-1,506B0M7,MB
-97.8,54,,1994-05-02 00:00:00,NORWAY HOUSE FORESTRY,,9,506B0M7,MB
-97.8,54,,1987-09-25 00:00:00,NORWAY HOUSE FORESTRY,,13,506B0M7,MB
-97.8,54,,1990-10-10 00:00:00,NORWAY HOUSE FORESTRY,,7.5,506B0M7,MB
-97.8,54,,1997-10-29 00:00:00,NORWAY HOUSE FORESTRY,,-7.5,506B0M7,MB
-97.8,54,,1995-08-09 00:00:00,NORWAY HOUSE FORESTRY,,16.5,506B0M7,MB
-97.8,54,,1988-07-06 00:00:00,NORWAY HOUSE FORESTRY,,20.5,506B0M7,MB
-97.8,54,,1991-01-20 00:00:00,NORWAY HOUSE FORESTRY,,-25.5,506B0M7,MB
-97.8,54,,1999-02-13 00:00:00,NORWAY HOUSE FORESTRY,,-10.5,506B0M7,MB
-97.8,54,,1987-06-29 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,1988-11-04 00:00:00,NORWAY HOUSE FORESTRY,,-4.5,506B0M7,MB
-97.8,54,,1998-09-15 00:00:00,NORWAY HOUSE FORESTRY,,11.5,506B0M7,MB
-97.8,54,,1996-08-08 00:00:00,NORWAY HOUSE FORESTRY,,13.5,506B0M7,MB
-97.8,54,,1996-03-15 00:00:00,NORWAY HOUSE FORESTRY,,-4.5,506B0M7,MB
-97.8,54,,1998-11-11 00:00:00,NORWAY HOUSE FORESTRY,,-8,506B0M7,MB
-97.8,54,,1996-12-21 00:00:00,NORWAY HOUSE FORESTRY,,-32,506B0M7,MB
-97.8,54,,1992-07-25 00:00:00,NORWAY HOUSE FORESTRY,,10.5,506B0M7,MB
-97.8,54,,1994-05-13 00:00:00,NORWAY HOUSE FORESTRY,,11,506B0M7,MB
-97.8,54,,1995-02-03 00:00:00,NORWAY HOUSE FORESTRY,,-19,506B0M7,MB
-97.8,54,,1991-11-09 00:00:00,NORWAY HOUSE FORESTRY,,-15,506B0M7,MB
-97.8,54,,1996-08-20 00:00:00,NORWAY HOUSE FORESTRY,,17,506B0M7,MB
-97.8,54,,2000-04-13 00:00:00,NORWAY HOUSE FORESTRY,,-6,506B0M7,MB
-97.8,54,,1998-03-11 00:00:00,NORWAY HOUSE FORESTRY,,-16,506B0M7,MB
-97.8,54,,1996-07-06 00:00:00,NORWAY HOUSE FORESTRY,,15,506B0M7,MB
-97.8,54,,1989-03-22 00:00:00,NORWAY HOUSE FORESTRY,,-11,506B0M7,MB
-97.8,54,,1989-04-08 00:00:00,NORWAY HOUSE FORESTRY,,-9.5,506B0M7,MB
-97.8,54,,1987-10-22 00:00:00,NORWAY HOUSE FORESTRY,,-0.5,506B0M7,MB
-97.8,54,,1994-03-13 00:00:00,NORWAY HOUSE FORESTRY,,-6,506B0M7,MB
-97.8,54,,1998-03-29 00:00:00,NORWAY HOUSE FORESTRY,,-4.5,506B0M7,MB
-97.8,54,,1992-05-07 00:00:00,NORWAY HOUSE FORESTRY,,3,506B0M7,MB
-97.8,54,,1996-06-18 00:00:00,NORWAY HOUSE FORESTRY,,22,506B0M7,MB
-97.8,54,,1996-07-31 00:00:00,NORWAY HOUSE FORESTRY,,22,506B0M7,MB
-97.8,54,,1988-09-05 00:00:00,NORWAY HOUSE FORESTRY,,12.5,506B0M7,MB
-97.8,54,,1993-06-07 00:00:00,NORWAY HOUSE FORESTRY,,14,506B0M7,MB
-97.8,54,,1996-02-23 00:00:00,NORWAY HOUSE FORESTRY,,-1,506B0M7,MB
-97.8,54,,1994-11-07 00:00:00,NORWAY HOUSE FORESTRY,,1,506B0M7,MB
-97.8,54,,1993-09-17 00:00:00,NORWAY HOUSE FORESTRY,,4.5,506B0M7,MB
-97.8,54,,1998-11-30 00:00:00,NORWAY HOUSE FORESTRY,,-5,506B0M7,MB
