x,y,SPEED_MAX_GUST,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-21.8,87,6020LPQ,2000-12-13 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-18.2,89,6020LPQ,2000-12-14 00:00:00
-91.62805555555556,48.76111111111111,32,ON,ATIKOKAN (AUT),-12.9,91,6020LPQ,2000-12-15 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),-13.3,90,6020LPQ,2000-12-16 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-19.5,86,6020LPQ,2000-12-17 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-19.5,85,6020LPQ,2000-12-18 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-21.3,84,6020LPQ,2000-12-19 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-17.2,89,6020LPQ,2000-12-20 00:00:00
-91.62805555555556,48.76111111111111,35,ON,ATIKOKAN (AUT),-15.9,87,6020LPQ,2000-12-21 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-23.8,83,6020LPQ,2000-12-22 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-21.1,84,6020LPQ,2000-12-23 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-25.3,83,6020LPQ,2000-12-24 00:00:00
-91.62805555555556,48.76111111111111,32,ON,ATIKOKAN (AUT),-21.4,85,6020LPQ,2000-12-25 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-21.6,85,6020LPQ,2000-12-26 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-25,83,6020LPQ,2000-12-27 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-21.3,85,6020LPQ,2000-12-28 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-18.1,88,6020LPQ,2000-12-29 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-16.4,89,6020LPQ,2000-12-30 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-18.9,89,6020LPQ,2000-12-31 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-20,87,6020LPQ,2001-01-01 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-11.6,88,6020LPQ,2001-01-02 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-10.6,95,6020LPQ,2001-01-03 00:00:00
-91.62805555555556,48.76111111111111,48,ON,ATIKOKAN (AUT),-4.9,95,6020LPQ,2001-01-04 00:00:00
-91.62805555555556,48.76111111111111,61,ON,ATIKOKAN (AUT),-7.7,86,6020LPQ,2001-01-05 00:00:00
-91.62805555555556,48.76111111111111,,ON,ATIKOKAN (AUT),-11.5,,6020LPQ,2001-01-06 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-17.1,,6020LPQ,2001-01-07 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-15.1,94,6020LPQ,2001-01-08 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-7.4,91,6020LPQ,2001-01-09 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-5.7,95,6020LPQ,2001-01-10 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-8.4,96,6020LPQ,2001-01-11 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-3.9,99,6020LPQ,2001-01-12 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-2.4,97,6020LPQ,2001-01-13 00:00:00
-91.62805555555556,48.76111111111111,0,ON,ATIKOKAN (AUT),-6,96,6020LPQ,2001-01-14 00:00:00
