Longitude,Latitude,Name,Date,Climate ID,SPEED_MAX_GUST,Province,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Station ID
-72.4,46.86666666666667,LAC AUX SABLES,1992-05-25 00:00:00,701LEEH,,QC,7.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-10-18 00:00:00,701LEEH,,QC,1.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-10-10 00:00:00,701LEEH,,QC,11.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1995-05-07 00:00:00,701LEEH,,QC,2.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-12-23 00:00:00,701LEEH,,QC,-4.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-08-17 00:00:00,701LEEH,,QC,21.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-07-13 00:00:00,701LEEH,,QC,18.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-07-30 00:00:00,701LEEH,,QC,16.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-11-06 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2000-03-08 00:00:00,701LEEH,,QC,0.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2016-12-22 00:00:00,701LEEH,,QC,-4.2,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1996-01-01 00:00:00,701LEEH,,QC,-18.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2012-08-09 00:00:00,701LEEH,,QC,19.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2000-07-03 00:00:00,701LEEH,,QC,18.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1999-02-12 00:00:00,701LEEH,,QC,-2.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-05-18 00:00:00,701LEEH,,QC,12.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-01-26 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-11-20 00:00:00,701LEEH,,QC,6.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1993-08-03 00:00:00,701LEEH,,QC,21.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-02-28 00:00:00,701LEEH,,QC,-13.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-06-16 00:00:00,701LEEH,,QC,17.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-03-10 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-08-19 00:00:00,701LEEH,,QC,20.8,,6872
