x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-68.78333333333333,48.25,,705LG09,1993-12-10 00:00:00,-0.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,2001-07-20 00:00:00,21,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1999-03-10 00:00:00,-8.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1991-02-28 00:00:00,-13.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1996-02-26 00:00:00,-2.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1994-02-21 00:00:00,-0.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1997-02-02 00:00:00,-9.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1989-11-19 00:00:00,-7,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1994-11-12 00:00:00,-0.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,2001-10-19 00:00:00,6.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1989-03-05 00:00:00,-8.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1999-05-02 00:00:00,11.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1998-12-03 00:00:00,-5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1992-12-12 00:00:00,-11.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1998-05-30 00:00:00,14,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1994-09-02 00:00:00,9.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1995-12-28 00:00:00,-7.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1992-02-27 00:00:00,-5.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1990-11-30 00:00:00,-7.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1993-05-27 00:00:00,8.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,2000-05-11 00:00:00,4.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1996-04-24 00:00:00,1.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1992-11-13 00:00:00,6.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1997-04-16 00:00:00,2.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1988-02-27 00:00:00,-12,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1995-06-06 00:00:00,11.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1997-12-24 00:00:00,-10.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1988-02-13 00:00:00,-10.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1995-08-11 00:00:00,24.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1998-10-09 00:00:00,5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1992-01-23 00:00:00,-13.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1992-02-13 00:00:00,-15.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1997-08-29 00:00:00,16.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1996-07-03 00:00:00,16.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,2001-07-22 00:00:00,20,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1994-10-31 00:00:00,6.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1996-07-13 00:00:00,19.8,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1996-11-22 00:00:00,-1,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1990-09-13 00:00:00,9.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1988-06-14 00:00:00,15.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1988-10-23 00:00:00,4.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1998-03-27 00:00:00,6.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1991-05-13 00:00:00,13.5,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1995-02-20 00:00:00,-15.3,LADRIERE,QC,
-68.78333333333333,48.25,,705LG09,1988-08-24 00:00:00,10.5,LADRIERE,QC,
