Longitude,Latitude,Climate ID,SPEED_MAX_GUST,MEAN_TEMPERATURE,Province,Name,MAX_REL_HUMIDITY,Date,Station ID
-121.6725,69.67277777777778,2202663,,-28.0,NT,KEATS POINT,,2001-01-01 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-28.3,NT,KEATS POINT,,2001-01-02 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-26.9,NT,KEATS POINT,,2001-01-03 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-27.7,NT,KEATS POINT,,2001-01-04 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-26.5,NT,KEATS POINT,,2001-01-05 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-26.3,NT,KEATS POINT,,2001-01-06 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-30.4,NT,KEATS POINT,,2001-01-07 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-29.3,NT,KEATS POINT,,2001-01-08 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-26.5,NT,KEATS POINT,,2001-01-09 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-23.1,NT,KEATS POINT,,2001-01-10 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-26.6,NT,KEATS POINT,,2001-01-11 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-25.9,NT,KEATS POINT,,2001-01-12 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-24.6,NT,KEATS POINT,,2001-01-13 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-24.9,NT,KEATS POINT,,2001-01-14 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-16.6,NT,KEATS POINT,,2001-01-15 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-8.6,NT,KEATS POINT,,2001-01-16 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-13.5,NT,KEATS POINT,,2001-01-17 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-12.6,NT,KEATS POINT,,2001-01-18 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-4.6,NT,KEATS POINT,,2001-01-19 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-9.1,NT,KEATS POINT,,2001-01-20 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-16.7,NT,KEATS POINT,,2001-01-21 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-17.5,NT,KEATS POINT,,2001-01-22 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-12.3,NT,KEATS POINT,,2001-01-23 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.6,NT,KEATS POINT,,2001-01-24 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-25.7,NT,KEATS POINT,,2001-01-25 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.3,NT,KEATS POINT,,2001-01-26 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-25.6,NT,KEATS POINT,,2001-01-27 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-28.5,NT,KEATS POINT,,2001-01-28 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.2,NT,KEATS POINT,,2001-01-29 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-20.1,NT,KEATS POINT,,2001-01-30 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.7,NT,KEATS POINT,,2001-01-31 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-23.3,NT,KEATS POINT,,2001-02-01 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.0,NT,KEATS POINT,,2001-02-02 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.0,NT,KEATS POINT,,2001-02-03 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-21.6,NT,KEATS POINT,,2001-02-04 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-22.6,NT,KEATS POINT,,2001-02-05 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-23.2,NT,KEATS POINT,,2001-02-06 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-20.2,NT,KEATS POINT,,2001-02-07 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-15.9,NT,KEATS POINT,,2001-02-08 00:00:00,2009
-121.6725,69.67277777777778,2202663,,-18.8,NT,KEATS POINT,,2001-02-09 00:00:00,2009
