Longitude,Latitude,MAX_REL_HUMIDITY,Date,Name,SPEED_MAX_GUST,MEAN_TEMPERATURE,Climate ID,Province,Station ID
-114.48195,49.627525,,1993-06-04 00:00:00,CROWSNEST,,,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-07 00:00:00,CROWSNEST,39.0,9.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-08 00:00:00,CROWSNEST,35.0,12.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-09 00:00:00,CROWSNEST,67.0,9.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-10 00:00:00,CROWSNEST,61.0,10.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-11 00:00:00,CROWSNEST,32.0,7.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-12 00:00:00,CROWSNEST,0.0,3.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-13 00:00:00,CROWSNEST,35.0,10.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-14 00:00:00,CROWSNEST,32.0,10.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-15 00:00:00,CROWSNEST,0.0,10.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-16 00:00:00,CROWSNEST,0.0,9.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-17 00:00:00,CROWSNEST,37.0,10.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-18 00:00:00,CROWSNEST,48.0,13.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-19 00:00:00,CROWSNEST,59.0,16.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-20 00:00:00,CROWSNEST,67.0,15.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-21 00:00:00,CROWSNEST,54.0,16.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-22 00:00:00,CROWSNEST,74.0,8.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-23 00:00:00,CROWSNEST,67.0,6.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-24 00:00:00,CROWSNEST,43.0,10.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-25 00:00:00,CROWSNEST,46.0,10.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-26 00:00:00,CROWSNEST,50.0,14.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-27 00:00:00,CROWSNEST,56.0,12.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-28 00:00:00,CROWSNEST,41.0,10.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-29 00:00:00,CROWSNEST,44.0,8.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-06-30 00:00:00,CROWSNEST,50.0,10.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-01 00:00:00,CROWSNEST,41.0,11.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-02 00:00:00,CROWSNEST,33.0,10.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-03 00:00:00,CROWSNEST,0.0,11.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-04 00:00:00,CROWSNEST,39.0,12.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-06 00:00:00,CROWSNEST,0.0,11.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-07 00:00:00,CROWSNEST,0.0,9.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-08 00:00:00,CROWSNEST,46.0,11.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-09 00:00:00,CROWSNEST,0.0,7.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-10 00:00:00,CROWSNEST,0.0,8.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-11 00:00:00,CROWSNEST,0.0,9.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-12 00:00:00,CROWSNEST,0.0,6.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-13 00:00:00,CROWSNEST,0.0,8.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-14 00:00:00,CROWSNEST,0.0,6.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-15 00:00:00,CROWSNEST,46.0,7.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-16 00:00:00,CROWSNEST,0.0,10.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-17 00:00:00,CROWSNEST,0.0,9.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-18 00:00:00,CROWSNEST,35.0,11.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-19 00:00:00,CROWSNEST,33.0,10.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-20 00:00:00,CROWSNEST,44.0,12.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-21 00:00:00,CROWSNEST,52.0,11.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-22 00:00:00,CROWSNEST,43.0,12.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-23 00:00:00,CROWSNEST,33.0,11.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-24 00:00:00,CROWSNEST,32.0,12.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-25 00:00:00,CROWSNEST,0.0,10.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-26 00:00:00,CROWSNEST,0.0,12.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-27 00:00:00,CROWSNEST,37.0,12.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-28 00:00:00,CROWSNEST,39.0,15.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-07-29 00:00:00,CROWSNEST,56.0,14.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-02 00:00:00,CROWSNEST,41.0,12.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-03 00:00:00,CROWSNEST,33.0,13.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-04 00:00:00,CROWSNEST,33.0,11.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-06 00:00:00,CROWSNEST,41.0,14.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-07 00:00:00,CROWSNEST,63.0,14.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-08 00:00:00,CROWSNEST,50.0,12.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-09 00:00:00,CROWSNEST,63.0,13.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-10 00:00:00,CROWSNEST,59.0,14.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-11 00:00:00,CROWSNEST,35.0,7.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-12 00:00:00,CROWSNEST,32.0,11.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-15 00:00:00,CROWSNEST,0.0,11.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-20 00:00:00,CROWSNEST,0.0,15.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-17 00:00:00,CROWSNEST,0.0,13.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-18 00:00:00,CROWSNEST,0.0,13.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-19 00:00:00,CROWSNEST,0.0,12.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-21 00:00:00,CROWSNEST,32.0,13.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-22 00:00:00,CROWSNEST,37.0,15.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-24 00:00:00,CROWSNEST,65.0,8.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-25 00:00:00,CROWSNEST,0.0,6.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-26 00:00:00,CROWSNEST,39.0,8.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-27 00:00:00,CROWSNEST,48.0,9.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-28 00:00:00,CROWSNEST,0.0,4.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-08-31 00:00:00,CROWSNEST,,7.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-01 00:00:00,CROWSNEST,0.0,11.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-03 00:00:00,CROWSNEST,,13.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-05 00:00:00,CROWSNEST,33.0,9.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-06 00:00:00,CROWSNEST,0.0,9.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-07 00:00:00,CROWSNEST,46.0,11.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-08 00:00:00,CROWSNEST,43.0,18.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-09 00:00:00,CROWSNEST,39.0,11.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-10 00:00:00,CROWSNEST,52.0,13.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-11 00:00:00,CROWSNEST,,18.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-13 00:00:00,CROWSNEST,46.0,5.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-15 00:00:00,CROWSNEST,0.0,3.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-16 00:00:00,CROWSNEST,0.0,5.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-17 00:00:00,CROWSNEST,0.0,6.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-18 00:00:00,CROWSNEST,39.0,6.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-19 00:00:00,CROWSNEST,32.0,6.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-20 00:00:00,CROWSNEST,0.0,3.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-21 00:00:00,CROWSNEST,32.0,4.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-22 00:00:00,CROWSNEST,39.0,5.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-23 00:00:00,CROWSNEST,43.0,6.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-24 00:00:00,CROWSNEST,59.0,7.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-25 00:00:00,CROWSNEST,44.0,6.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-26 00:00:00,CROWSNEST,50.0,7.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-27 00:00:00,CROWSNEST,41.0,11.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-28 00:00:00,CROWSNEST,33.0,7.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-09-29 00:00:00,CROWSNEST,72.0,9.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-01 00:00:00,CROWSNEST,39.0,5.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-02 00:00:00,CROWSNEST,44.0,9.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-05 00:00:00,CROWSNEST,48.0,10.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-07 00:00:00,CROWSNEST,0.0,-0.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-08 00:00:00,CROWSNEST,0.0,2.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-09 00:00:00,CROWSNEST,,,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-26 00:00:00,CROWSNEST,48.0,1.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-27 00:00:00,CROWSNEST,63.0,6.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-28 00:00:00,CROWSNEST,33.0,-1.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-29 00:00:00,CROWSNEST,46.0,-3.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-30 00:00:00,CROWSNEST,54.0,5.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-10-31 00:00:00,CROWSNEST,50.0,3.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-01 00:00:00,CROWSNEST,65.0,-1.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-02 00:00:00,CROWSNEST,93.0,4.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-03 00:00:00,CROWSNEST,76.0,0.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-04 00:00:00,CROWSNEST,35.0,-9.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-05 00:00:00,CROWSNEST,63.0,-8.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-06 00:00:00,CROWSNEST,59.0,0.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-07 00:00:00,CROWSNEST,44.0,-0.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-08 00:00:00,CROWSNEST,46.0,-1.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-09 00:00:00,CROWSNEST,43.0,-1.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-10 00:00:00,CROWSNEST,43.0,0.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-11 00:00:00,CROWSNEST,43.0,-0.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-12 00:00:00,CROWSNEST,33.0,-1.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-13 00:00:00,CROWSNEST,0.0,-5.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-14 00:00:00,CROWSNEST,76.0,-5.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-15 00:00:00,CROWSNEST,67.0,0.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-16 00:00:00,CROWSNEST,48.0,-1.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-17 00:00:00,CROWSNEST,33.0,-5.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-18 00:00:00,CROWSNEST,52.0,-2.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-19 00:00:00,CROWSNEST,80.0,0.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-20 00:00:00,CROWSNEST,82.0,2.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-21 00:00:00,CROWSNEST,61.0,-10.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-22 00:00:00,CROWSNEST,0.0,-23.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-23 00:00:00,CROWSNEST,0.0,-24.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-24 00:00:00,CROWSNEST,0.0,-21.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-25 00:00:00,CROWSNEST,0.0,-19.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-26 00:00:00,CROWSNEST,50.0,-14.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-27 00:00:00,CROWSNEST,76.0,-5.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-28 00:00:00,CROWSNEST,52.0,0.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-29 00:00:00,CROWSNEST,56.0,1.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-11-30 00:00:00,CROWSNEST,50.0,0.8,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-01 00:00:00,CROWSNEST,57.0,0.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-02 00:00:00,CROWSNEST,52.0,1.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-04 00:00:00,CROWSNEST,69.0,0.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-05 00:00:00,CROWSNEST,50.0,-9.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-06 00:00:00,CROWSNEST,50.0,-9.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-07 00:00:00,CROWSNEST,65.0,-3.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-08 00:00:00,CROWSNEST,54.0,0.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-09 00:00:00,CROWSNEST,65.0,1.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-10 00:00:00,CROWSNEST,65.0,4.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-11 00:00:00,CROWSNEST,59.0,5.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-12 00:00:00,CROWSNEST,63.0,1.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-13 00:00:00,CROWSNEST,72.0,-1.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-14 00:00:00,CROWSNEST,43.0,0.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-15 00:00:00,CROWSNEST,0.0,-6.2,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-16 00:00:00,CROWSNEST,0.0,-6.9,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-17 00:00:00,CROWSNEST,56.0,-11.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-18 00:00:00,CROWSNEST,69.0,-5.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-19 00:00:00,CROWSNEST,56.0,-8.3,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-20 00:00:00,CROWSNEST,78.0,-4.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-21 00:00:00,CROWSNEST,54.0,-9.6,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-22 00:00:00,CROWSNEST,76.0,-7.7,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-23 00:00:00,CROWSNEST,70.0,-10.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-24 00:00:00,CROWSNEST,59.0,-1.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-25 00:00:00,CROWSNEST,57.0,-0.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-26 00:00:00,CROWSNEST,43.0,-5.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-27 00:00:00,CROWSNEST,57.0,-10.4,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-28 00:00:00,CROWSNEST,52.0,-5.0,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-29 00:00:00,CROWSNEST,56.0,-1.1,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-30 00:00:00,CROWSNEST,61.0,1.5,3051R4R,AB,3178
-114.48195,49.627525,,1993-12-31 00:00:00,CROWSNEST,48.0,1.4,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-01 00:00:00,CROWSNEST,44.0,-0.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-02 00:00:00,CROWSNEST,59.0,0.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-03 00:00:00,CROWSNEST,48.0,0.6,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-04 00:00:00,CROWSNEST,46.0,-4.4,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-07 00:00:00,CROWSNEST,67.0,-3.8,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-08 00:00:00,CROWSNEST,56.0,-4.8,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-11 00:00:00,CROWSNEST,56.0,2.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-14 00:00:00,CROWSNEST,41.0,-1.6,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-17 00:00:00,CROWSNEST,32.0,-20.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-18 00:00:00,CROWSNEST,54.0,-7.6,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-19 00:00:00,CROWSNEST,32.0,-3.8,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-20 00:00:00,CROWSNEST,50.0,-1.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-21 00:00:00,CROWSNEST,72.0,-1.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-22 00:00:00,CROWSNEST,61.0,5.7,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-23 00:00:00,CROWSNEST,33.0,3.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-24 00:00:00,CROWSNEST,41.0,1.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-25 00:00:00,CROWSNEST,0.0,-1.7,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-26 00:00:00,CROWSNEST,37.0,-2.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-27 00:00:00,CROWSNEST,0.0,-5.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-28 00:00:00,CROWSNEST,39.0,-7.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-29 00:00:00,CROWSNEST,0.0,-6.7,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-30 00:00:00,CROWSNEST,0.0,-6.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-01-31 00:00:00,CROWSNEST,32.0,-7.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-01 00:00:00,CROWSNEST,56.0,-8.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-02 00:00:00,CROWSNEST,46.0,-6.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-03 00:00:00,CROWSNEST,48.0,-11.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-06 00:00:00,CROWSNEST,50.0,-18.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-07 00:00:00,CROWSNEST,32.0,-28.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-08 00:00:00,CROWSNEST,59.0,-23.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-09 00:00:00,CROWSNEST,85.0,-9.4,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-10 00:00:00,CROWSNEST,50.0,-7.4,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-13 00:00:00,CROWSNEST,54.0,-1.5,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-14 00:00:00,CROWSNEST,63.0,-1.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-17 00:00:00,CROWSNEST,0.0,-5.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-18 00:00:00,CROWSNEST,43.0,-13.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-19 00:00:00,CROWSNEST,39.0,-18.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-21 00:00:00,CROWSNEST,37.0,-19.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-22 00:00:00,CROWSNEST,0.0,-17.4,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-23 00:00:00,CROWSNEST,52.0,-21.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-24 00:00:00,CROWSNEST,0.0,-27.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-25 00:00:00,CROWSNEST,0.0,-21.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-26 00:00:00,CROWSNEST,46.0,-9.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-27 00:00:00,CROWSNEST,44.0,-1.8,3051R4R,AB,3178
-114.48195,49.627525,,1994-02-28 00:00:00,CROWSNEST,72.0,3.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-01 00:00:00,CROWSNEST,109.0,7.8,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-04 00:00:00,CROWSNEST,56.0,4.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-05 00:00:00,CROWSNEST,46.0,-2.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-08 00:00:00,CROWSNEST,46.0,-2.7,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-09 00:00:00,CROWSNEST,52.0,0.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-10 00:00:00,CROWSNEST,46.0,0.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-11 00:00:00,CROWSNEST,35.0,0.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-12 00:00:00,CROWSNEST,63.0,5.6,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-13 00:00:00,CROWSNEST,63.0,7.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-14 00:00:00,CROWSNEST,46.0,3.4,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-15 00:00:00,CROWSNEST,70.0,4.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-16 00:00:00,CROWSNEST,44.0,4.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-17 00:00:00,CROWSNEST,72.0,1.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-18 00:00:00,CROWSNEST,63.0,1.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-19 00:00:00,CROWSNEST,57.0,-1.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-20 00:00:00,CROWSNEST,56.0,-0.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-21 00:00:00,CROWSNEST,69.0,-0.7,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-22 00:00:00,CROWSNEST,39.0,-2.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-23 00:00:00,CROWSNEST,37.0,-1.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-24 00:00:00,CROWSNEST,37.0,-5.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-25 00:00:00,CROWSNEST,46.0,-2.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-26 00:00:00,CROWSNEST,0.0,0.6,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-27 00:00:00,CROWSNEST,50.0,1.3,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-28 00:00:00,CROWSNEST,39.0,2.6,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-29 00:00:00,CROWSNEST,48.0,2.8,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-30 00:00:00,CROWSNEST,35.0,4.9,3051R4R,AB,3178
-114.48195,49.627525,,1994-03-31 00:00:00,CROWSNEST,0.0,5.1,3051R4R,AB,3178
-114.48195,49.627525,,1994-04-01 00:00:00,CROWSNEST,0.0,1.5,3051R4R,AB,3178
-114.48195,49.627525,,1994-04-02 00:00:00,CROWSNEST,39.0,4.2,3051R4R,AB,3178
-114.48195,49.627525,,1994-04-03 00:00:00,CROWSNEST,0.0,2.7,3051R4R,AB,3178
-114.48195,49.627525,,1994-04-04 00:00:00,CROWSNEST,0.0,1.0,3051R4R,AB,3178
-114.48195,49.627525,,1994-04-05 00:00:00,CROWSNEST,32.0,-3.1,3051R4R,AB,3178
