Longitude,Latitude,Climate ID,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Province,Name,SPEED_MAX_GUST,Date,Station ID
-111.11722222222222,58.76722222222222,3072659,-2.9,94,AB,FORT CHIPEWYAN RCS,35.0,2022-10-15 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,6.3,97,AB,FORT CHIPEWYAN RCS,,2022-10-03 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,6.6,98,AB,FORT CHIPEWYAN RCS,,2022-10-08 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,1.2,97,AB,FORT CHIPEWYAN RCS,,2022-10-05 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,8.0,97,AB,FORT CHIPEWYAN RCS,,2022-10-07 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,6.2,91,AB,FORT CHIPEWYAN RCS,35.0,2022-10-04 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,7.2,81,AB,FORT CHIPEWYAN RCS,,2022-10-17 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,1.5,98,AB,FORT CHIPEWYAN RCS,,2022-10-21 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,1.0,69,AB,FORT CHIPEWYAN RCS,61.0,2022-10-12 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,7.4,93,AB,FORT CHIPEWYAN RCS,,2022-10-19 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-1.1,97,AB,FORT CHIPEWYAN RCS,,2022-10-23 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,11.5,83,AB,FORT CHIPEWYAN RCS,51.0,2022-10-10 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,4.0,90,AB,FORT CHIPEWYAN RCS,54.0,2022-10-14 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,12.6,79,AB,FORT CHIPEWYAN RCS,46.0,2022-10-02 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,8.8,94,AB,FORT CHIPEWYAN RCS,,2022-10-06 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,1.2,90,AB,FORT CHIPEWYAN RCS,,2022-10-16 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,4.6,91,AB,FORT CHIPEWYAN RCS,62.0,2022-10-11 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,8.9,94,AB,FORT CHIPEWYAN RCS,,2022-10-18 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-0.8,92,AB,FORT CHIPEWYAN RCS,32.0,2022-10-13 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,8.3,87,AB,FORT CHIPEWYAN RCS,51.0,2022-10-20 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-0.9,90,AB,FORT CHIPEWYAN RCS,,2022-10-22 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,9.8,98,AB,FORT CHIPEWYAN RCS,,2022-10-09 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-1.6,87,AB,FORT CHIPEWYAN RCS,36.0,2022-10-31 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,0.6,98,AB,FORT CHIPEWYAN RCS,,2022-10-24 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,7.1,78,AB,FORT CHIPEWYAN RCS,88.0,2022-10-27 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,0.5,95,AB,FORT CHIPEWYAN RCS,,2022-10-26 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,2.1,92,AB,FORT CHIPEWYAN RCS,46.0,2022-10-28 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,1.4,96,AB,FORT CHIPEWYAN RCS,35.0,2022-10-30 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,0.4,95,AB,FORT CHIPEWYAN RCS,46.0,2022-10-29 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,0.1,97,AB,FORT CHIPEWYAN RCS,,2022-10-25 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-14.9,86,AB,FORT CHIPEWYAN RCS,41.0,2022-11-02 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-3.8,90,AB,FORT CHIPEWYAN RCS,37.0,2022-11-01 00:00:00,3619
-111.11722222222222,58.76722222222222,3072659,-14.6,90,AB,FORT CHIPEWYAN RCS,42.0,2022-11-03 00:00:00,3619
