Year,CostProvinceShort,DollarPerAcre,InflationScaler,DollarPerHectare,ProvinceID
1921,PE,35,10.0,14.164305949008495,1
1921,NS,23,10.0,9.307972480777012,2
1921,NB,23,10.0,9.307972480777012,3
1921,QC,50,10.0,20.23472278429785,4
1921,ON,57,10.0,23.06758397409956,5
1921,MB,34,10.0,13.759611493322542,6
1921,SK,29,10.0,11.736139214892756,7
1921,AB,25,10.0,10.117361392148927,8
1921,BC,60,10.0,24.281667341157423,9
1922,PE,36,10.869565217391305,14.569000404694457,1
1922,NS,22,10.869565217391305,8.903278025091057,2
1922,NB,26,10.869565217391305,10.522055847834883,3
1922,QC,50,10.869565217391305,20.23472278429785,4
1922,ON,58,10.869565217391305,23.47227842978551,5
1922,MB,30,10.869565217391305,12.140833670578711,6
1922,SK,27,10.869565217391305,10.92675030352084,7
1922,AB,21,10.869565217391305,8.498583569405099,8
1922,BC,59,10.869565217391305,23.876972885471467,9
1923,PE,41,10.869565217391305,16.592472683124242,1
1923,NS,20,10.869565217391305,8.093889113719142,2
1923,NB,26,10.869565217391305,10.522055847834883,3
1923,QC,49,10.869565217391305,19.8300283286119,4
1923,ON,59,10.869565217391305,23.876972885471467,5
1923,MB,26,10.869565217391305,10.522055847834883,6
1923,SK,23,10.869565217391305,9.307972480777012,7
1923,AB,21,10.869565217391305,8.498583569405099,8
1923,BC,49,10.869565217391305,19.8300283286119,9
1924,PE,33,11.11111111111111,13.354917037636584,1
1924,NS,21,11.11111111111111,8.498583569405099,2
1924,NB,22,11.11111111111111,8.903278025091057,3
1924,QC,47,11.11111111111111,19.020639417239984,4
1924,ON,61,11.11111111111111,24.686361796843386,5
1924,MB,26,11.11111111111111,10.522055847834883,6
1924,SK,23,11.11111111111111,9.307972480777012,7
1924,AB,21,11.11111111111111,8.498583569405099,8
1924,BC,48,11.11111111111111,19.42533387292594,9
1925,PE,39,10.989010989010987,15.783083771752326,1
1925,NS,24,10.989010989010987,9.71266693646297,2
1925,NB,27,10.989010989010987,10.92675030352084,3
1925,QC,48,10.989010989010987,19.42533387292594,4
1925,ON,63,10.989010989010987,25.495750708215297,5
1925,MB,26,10.989010989010987,10.522055847834883,6
1925,SK,23,10.989010989010987,9.307972480777012,7
1925,AB,22,10.989010989010987,8.903278025091057,8
1925,BC,44,10.989010989010987,17.806556050182113,9
1926,PE,41,10.869565217391305,16.592472683124242,1
1926,NS,24,10.869565217391305,9.71266693646297,2
1926,NB,24,10.869565217391305,9.71266693646297,3
1926,QC,48,10.869565217391305,19.42533387292594,4
1926,ON,59,10.869565217391305,23.876972885471467,5
1926,MB,25,10.869565217391305,10.117361392148927,6
1926,SK,23,10.869565217391305,9.307972480777012,7
1926,AB,21,10.869565217391305,8.498583569405099,8
1926,BC,40,10.869565217391305,16.187778227438283,9
1927,PE,38,10.989010989010987,15.37838931606637,1
