StationID,StationName,Latitude (Decimal Degrees),Longitude (Decimal Degrees),StationProvinceShort
0,ACTIVE PASS,48.87,-123.28,BC
1,ALBERT HEAD,48.4,-123.48,BC
2,BAMBERTON OCEAN CEMENT,48.58,-123.52,BC
3,BEAR CREEK,48.5,-124.0,BC
4,BEAVER LAKE,48.5,-123.35,BC
5,BECHER BAY,48.33,-123.63,BC
6,BRENTWOOD BAY 2,48.6,-123.47,BC
7,BRENTWOOD CLARKE ROAD,48.57,-123.45,BC
8,BRENTWOOD W SAANICH RD,48.57,-123.43,BC
9,CENTRAL SAANICH VEYANESS,48.58,-123.42,BC
10,CENTRAL SAANICH ISL VIEW,48.57,-123.39,BC
11,CENTRAL SAANICH TANNER,48.55,-123.4,BC
12,CHEMAINUS,48.94,-123.74,BC
13,COBBLE HILL,48.68,-123.6,BC
14,COBBLE HILL DELOUME ROAD,48.65,-123.57,BC
15,COLE BAY,48.65,-123.4,BC
16,COLWOOD HATLEY DR,48.42,-123.48,BC
17,COPPER CANYON,48.83,-123.83,BC
18,CORDOVA BAY,48.53,-123.37,BC
19,CORDOVA BAY SOUTH,48.52,-123.37,BC
20,COWICHAN,48.42,-123.7,BC
21,COWICHAN BAY CHERRY POINT,48.71,-123.56,BC
22,COWICHAN BAY SOUTHEAST,48.73,-123.6,BC
23,COWICHAN LAKE FORESTRY,48.82,-124.13,BC
24,COWICHAN LAKE HATCHERY,48.83,-124.12,BC
25,COWICHAN LAKE NITINAT,48.93,-124.48,BC
26,LAKE COWICHAN,48.83,-124.05,BC
27,CROFTON,48.82,-123.67,BC
28,DISCOVERY ISLAND,48.42,-123.23,BC
29,DUNCAN,48.78,-123.72,BC
30,DUNCAN BCHPA VIT,48.83,-123.72,BC
31,DUNCAN EAST,48.78,-123.68,BC
32,DUNCAN FORESTRY,48.77,-123.68,BC
33,DUNCAN KELVIN CREEK,48.73,-123.73,BC
34,EAST SOOKE ANDERSON COVE,48.35,-123.63,BC
35,ELK LAKE,48.52,-123.38,BC
36,ELK LAKE 2,48.53,-123.38,BC
37,ESQUIMALT,48.43,-123.42,BC
38,ESQUIMALT LAGOON,48.42,-123.47,BC
39,ESQUIMALT HARBOUR,48.43,-123.44,BC
40,FINLAYSON ARM RD,48.5,-123.53,BC
41,GALIANO ISLAND GCC,48.9,-123.35,BC
42,GANGES MANSELL RD,48.87,-123.5,BC
43,GALIANO ISL BURRILL PT,48.87,-123.32,BC
44,GALIANO NORTH,48.99,-123.57,BC
45,GOLDSTREAM LAKE,48.45,-123.55,BC
46,GOLDSTREAM MEADOWS,48.62,-123.53,BC
47,HONEYMOON BAY NORTHWEST,48.83,-124.19,BC
48,JAMES ISLAND,48.6,-123.35,BC
49,KELP REEFS,48.55,-123.24,BC
50,KUPER ISLAND,48.97,-123.63,BC
51,LAKE COWICHAN,48.82,-124.05,BC
52,LANGFORD LAKE,48.43,-123.53,BC
53,MALAHAT,48.58,-123.58,BC
54,MALAHAT,48.57,-123.53,BC
55,MAYNE ISLAND,48.85,-123.33,BC
56,MAYNE ISLAND,48.84,-123.32,BC
57,METCHOSIN,48.37,-123.56,BC
58,METCHOSIN HAPPY VALLEY,48.42,-123.53,BC
59,METCHOSIN MOUNTAIN,48.4,-123.53,BC
60,METCHOSIN PARRY BAY,48.38,-123.5,BC
61,MILL BAY KILMALU,48.65,-123.55,BC
62,MILL BAY 1 SOUTHWEST,48.64,-123.56,BC
63,MILLSTREAM,48.48,-123.55,BC
64,MILNES LANDING,48.35,-123.73,BC
65,MUIR CREEK 1W,48.38,-123.88,BC
66,NORTH COWICHAN,48.82,-123.72,BC
67,NORTH COWICHAN,48.82,-123.72,BC
68,NORTH PENDER ISLAND,48.76,-123.29,BC
69,PENDER ISLAND,48.77,-123.3,BC
70,PIERS ISLAND,48.7,-123.42,BC
71,POINT-NO-POINT,48.41,-123.99,BC
72,PORT RENFREW,48.59,-124.33,BC
73,RACE ROCKS,48.3,-123.53,BC
74,RACE ROCKS LIGHTSTATION,48.3,-123.53,BC
75,RIVER JORDAN,48.42,-124.05,BC
76,SAANICHTON CDA,48.62,-123.42,BC
77,SAANICH CAMOSUN COLLEGE,48.5,-123.42,BC
78,SAANICH DENSMORE,48.5,-123.4,BC
79,SAANICHTON CFIA,48.62,-123.42,BC
80,SALTAIR,48.97,-123.77,BC
81,SALTSPRING ISLAND,48.85,-123.5,BC
82,SALTSPRING IS CUSHEON LK,48.82,-123.48,BC
83,SALTSPRING ST MARY'S L,48.89,-123.55,BC
84,SAANICH DOM ASTRO OBS,48.52,-123.42,BC
85,SAANICH OLDFIELD,48.55,-123.42,BC
86,SAANICHTON MT NEWTON,48.6,-123.43,BC
87,SALTSPRING VESUVIUS,48.88,-123.57,BC
88,SATURNA CAPMON,48.78,-123.13,BC
89,SATURNA CAPMON CS,48.78,-123.13,BC
90,SATURNA ISLAND CS,48.78,-123.04,BC
91,SHAWNIGAN LAKE,48.65,-123.63,BC
92,SHAWNIGAN LAKE NORTH,48.65,-123.63,BC
93,SHERINGHAM POINT,48.38,-123.92,BC
94,SIDNEY DEEP COVE,48.68,-123.4,BC
95,SOOKE,48.37,-123.73,BC
96,SOOKE GLINZ LAKE,48.42,-123.63,BC
97,SOOKE LAKE,48.52,-123.7,BC
98,SOOKE LAKE NORTH,48.58,-123.64,BC
99,SOOKE OTTER POINT,48.37,-123.82,BC
100,SOOKE SASEENOS,48.38,-123.67,BC
101,SOUTH PENDER ISLAND 2,48.75,-123.22,BC
102,TRIAL ISLAND,48.4,-123.3,BC
103,VICTORIA AMROTH PLACE,48.45,-123.28,BC
104,VICTORIA ARDMORE,48.63,-123.47,BC
105,VICTORIA BAY STREET,48.43,-123.37,BC
106,VICTORIA UNIVERSITY CS,48.46,-123.3,BC
107,VICTORIA CAREY ROAD,48.47,-123.47,BC
108,VICTORIA FRANCIS PARK,48.48,-123.44,BC
109,VICTORIA GONZALES HTS,48.41,-123.33,BC
110,VICTORIA GONZALES CS,48.41,-123.32,BC
111,VICTORIA GORDON HEAD,48.47,-123.3,BC
112,VICTORIA HARBOUR A,48.42,-123.39,BC
113,VICTORIA HIGHLAND,48.51,-123.51,BC
114,VICTORIA HOLLAND 2,48.48,-123.41,BC
115,VICTORIA HIGHLANDS NORTH,48.54,-123.5,BC
116,VICTORIA HARBOUR A,48.42,-123.39,BC
117,VICTORIA INT'L A,48.65,-123.43,BC
118,VICTORIA INTL A,48.65,-123.43,BC
119,VICTORIA JUBILEE,48.43,-123.33,BC
120,VICTORIA HARBOUR A,48.42,-123.39,BC
121,VICTORIA LANSDOWNE,48.43,-123.32,BC
122,VICTORIA MARINE,48.37,-123.75,BC
123,VICTORIA MUSGRAVE STREET,48.43,-123.3,BC
124,VICTORIA NORTH DAIRY RD,48.45,-123.33,BC
125,VICTORIA NORTHRIDGE,48.49,-123.4,BC
126,VICTORIA ROWLEY ROAD,48.47,-123.3,BC
127,VICTORIA SINCLAIR ROAD,48.47,-123.3,BC
128,VICTORIA TILLICUM,48.45,-123.39,BC
129,VICTORIA TUDOR AVENUE,48.45,-123.27,BC
130,WILLIAM HEAD,48.34,-123.54,BC
131,VICTORIA U VIC,48.47,-123.33,BC
132,VICTORIA HARTLAND CS,48.53,-123.46,BC
133,YOUBOU,48.88,-124.22,BC
134,YOUBOU SCHOOL,48.88,-124.22,BC
135,CHEMAINUS BARE POINT,48.92,-123.7,BC
136,GALIANO SOUTH,48.87,-123.32,BC
137,GALIANO SOUTH 2,48.88,-123.35,BC
138,SAANICHTON MT NEWTON 2,48.6,-123.45,BC
139,SAANICH OLDFIELD NORTH,48.55,-123.42,BC
140,SATURNA ISLAND CAMPBELL SCIENTIFIC,48.78,-123.05,BC
141,VICTORIA WEST,48.43,-123.38,BC
142,VICTORIA WILLOWS PARK,48.43,-123.3,BC
143,VICTORIA PHYLLIS STREET,48.46,-123.27,BC
144,VICTORIA PORTAGE INLET,48.45,-123.43,BC
145,CORDOVA BAY CLAREMOUNT,48.52,-123.37,BC
146,VICTORIA PRINCESS AVE,48.43,-123.35,BC
147,VICTORIA PROSPECT LAKE,48.52,-123.43,BC
148,VICTORIA SHELBOURNE,48.47,-123.33,BC
149,VICTORIA SHORT STREET,48.45,-123.37,BC
150,ALERT BAY,50.58,-126.93,BC
151,BALLENAS ISLAND,49.35,-124.16,BC
152,BLACK CREEK,49.85,-125.13,BC
153,BLACK CREEK SE,49.8,-125.09,BC
154,BLIND CHANNEL,50.42,-125.5,BC
155,BOWSER,49.45,-124.67,BC
156,NANAIMO HARBOUR,49.17,-123.93,BC
157,CAMERON LAKE,49.28,-124.58,BC
158,CAMPBELL LAKE,50.02,-125.4,BC
159,CAMPBELL RIVER,50.02,-125.3,BC
160,CAMPBELL RIVER A,49.95,-125.27,BC
161,CAMPBELL RIVER BCFS,50.07,-125.32,BC
162,CAMPBELL RIVER BCHPA GEN,50.05,-125.32,BC
163,CAMPBELL R LAKEVIEW FC,50.2,-125.55,BC
164,CAMPBELL RIVER STP,50.02,-125.23,BC
165,CAMPBELL RIVER SURFSIDE,49.95,-125.21,BC
166,CAMPBELL RIVER A,49.95,-125.27,BC
167,CAMPBELL RIVER A,49.95,-125.27,BC
168,CAPE LAZO,49.7,-124.87,BC
169,CAPE MUDGE,50.0,-125.2,BC
170,CAPE MUDGE CS,50.0,-125.2,BC
171,CHATHAM POINT,50.33,-125.45,BC
172,CHROME ISLAND,49.47,-124.68,BC
173,CHROME ISLAND,49.47,-124.68,BC
174,COAL HARBOUR RUPERT IN,50.6,-127.5,BC
175,COMOX A,49.72,-124.9,BC
176,COMOX PCC,49.69,-125.03,BC
177,COOMBS,49.31,-124.43,BC
178,CORTES ISLAND,50.08,-125.03,BC
179,CORTES ISL SUTIL POINT,50.02,-124.98,BC
180,CORTES ISLAND TIBER BAY,50.07,-124.95,BC
181,COURTENAY GRANTHAM,49.76,-125.0,BC
182,COURTENAY PUNTLEDGE,49.69,-125.03,BC
183,COURTENAY PUNTLEDGE BCHP,49.68,-125.03,BC
184,COURTENAY SANDWICK,49.7,-124.97,BC
185,CUMBERLAND,49.62,-125.03,BC
186,DENMAN ISLAND,49.52,-124.78,BC
187,DENMAN ISLAND EAST SHORE,49.52,-124.74,BC
188,DENMAN ISLAND 2,49.55,-124.8,BC
189,DUNCAN BAY,50.07,-125.28,BC
190,DUNCAN GLENORA,48.76,-123.77,BC
191,ENTRANCE ISLAND,49.2,-123.8,BC
192,ENTRANCE ISLAND,49.21,-123.81,BC
193,FANNY ISLAND,50.45,-125.99,BC
194,FRENCH CREEK,49.35,-124.37,BC
195,GABRIOLA ISLAND,49.15,-123.73,BC
196,HERIOT BAY SE,50.1,-125.2,BC
197,HILLIERS,49.3,-124.5,BC
198,HORNBY ISLAND,49.53,-124.6,BC
199,KELSEY BAY,50.38,-125.95,BC
200,LADYSMITH,48.95,-123.65,BC
201,LASQUETI ISLAND,49.5,-124.33,BC
202,LAZO,49.73,-124.9,BC
203,LITTLE QUALICUM,49.35,-124.78,BC
204,LITTLE QUALICUM HATCHERY,49.35,-124.51,BC
205,LITTLE QUALICUM R ESTY,49.37,-124.48,BC
206,LITTLE QUALICUM RIVER GANSKE ROAD,49.37,-124.5,BC
207,MT WASHINGTON,49.75,-125.29,BC
208,MT WASHINGTON RESORT,49.75,-125.29,BC
209,MT WASHINGTON UPPER,49.75,-125.29,BC
210,MUD BAY,49.47,-124.79,BC
211,MYRA CREEK,49.58,-125.61,BC
212,NANAIMO,49.18,-123.97,BC
213,NANAIMO A,49.05,-123.87,BC
214,NANAIMO A,49.05,-123.87,BC
215,NANAIMO A,49.05,-123.87,BC
216,NANAIMO WATER RESERVOIR,49.15,-123.97,BC
217,NANOOSE BAY,49.28,-124.18,BC
218,NANOOSE BAY AUTO,49.27,-124.15,BC
219,NANOOSE BAY SOUTH,49.25,-124.18,BC
220,NANAIMO CITY YARD,49.2,-123.99,BC
221,NANAIMO CHUB,49.17,-123.93,BC
222,OYSTER RIVER UBC,49.88,-125.13,BC
223,PARKSVILLE,49.3,-124.3,BC
224,PARKSVILLE NORTHWEST,49.33,-124.33,BC
225,PARKSVILLE SOUTH,49.33,-124.3,BC
226,NANAIMO DEPARTURE BAY,49.22,-123.95,BC
227,PINE ISLAND,50.98,-127.73,BC
228,PORT HARDY,50.67,-127.48,BC
229,PORT HARDY A,50.68,-127.37,BC
230,PORT HARDY A,50.68,-127.37,BC
231,PORT HARDY BEAVER HR,50.72,-127.43,BC
232,PORT MCNEILL,50.58,-127.08,BC
233,QUADRA ISLAND,50.18,-125.18,BC
234,QUALICUM BEACH AIRPORT,49.34,-124.39,BC
235,QUALICUM BEACH,49.33,-124.43,BC
236,QUALICUM BEACH YAMBURY,49.35,-124.38,BC
237,QUALICUM R FISH RESEARCH,49.39,-124.62,BC
238,QUINSAM RIVER HATCHERY,50.02,-125.3,BC
239,SANDWICK,49.75,-125.05,BC
240,SAVARY ISLAND,49.93,-124.85,BC
241,SAYWARD,50.37,-126.0,BC
242,SAYWARD 2,50.32,-125.93,BC
243,SAYWARD BIG TREE CREEK,50.23,-125.77,BC
244,SISTERS ISLAND,49.49,-124.43,BC
245,STRATHCONA DAM,50.0,-125.58,BC
246,STRATHCONA PARK LODGE,49.88,-125.65,BC
247,SURGE NARROWS READ IS,50.22,-125.1,BC
248,SURGE NARROWS RENDEZVOUS,50.28,-125.07,BC
249,VANANDA,49.75,-124.58,BC
250,UPPER CAMPBELL LAKE,49.9,-125.63,BC
251,ENTRANCE ISLAND,49.21,-123.81,BC
252,NANAIMO NORTH,49.22,-123.98,BC
253,NANAIMO RIVER CAMP,49.08,-124.08,BC
254,COURTENAY MEADOWBROOK,49.72,-124.98,BC
255,STUART CHANNEL BOAT HARBOUR,49.09,-123.8,BC
256,ALBERNI BEAVER CREEK,49.37,-124.93,BC
257,ALBERNI CITY RESERVOIR,49.27,-124.78,BC
258,ALBERNI LUPSI CUPSI,49.25,-124.82,BC
